"Artist_URI","Description","ObjectURI","Image","OwnerURI","AquisitionDate","ArtistBornDate","ArtistDiedDate","DateOfWork","Dimension","ClassificationURI","Classification","MediumURI","Medium","ArtistAppellation_URI","Artist","Title","CreditLine"
"E21_Person---dev#classLink","E22_Man-Made_Object---P3_has_note","E22_Man-Made_Object---dev#classLink","E38_Image---dev#classLink","E40_Legal_Body---dev#classLink","E52_Time-Span---P82_at_some_time_within","E52_Time-Span---P82_at_some_time_within","E52_Time-Span---P82_at_some_time_within","E52_Time-Span---P82_at_some_time_within","E54_Dimension---P3_has_note","E55_Type---dev#classLink","E55_Type---rdf-schema#label","E55_Type---dev#classLink","E55_Type---rdf-schema#label","E82_Actor_Appellation---dev#classLink","E82_Actor_Appellation---rdf-schema#label","E82_Actor_Appellation---rdf-schema#label","E8_Acquisition---P3_has_note"
"","","","http://npgportraits.si.edu/eMuseumNPG/media/previews/9200254a.jpg","","1992-05-26","","","1857","41.9cm x 36.8cm (16 1/2"" x 14 1/2"") ","","Painting","","Oil on canvas","","Nahum Ball Onthank","Henry Larcom Abbot","National Portrait Gallery, Smithsonian Institution; gift of Henry Merriam Abbot, in loving memory of his great-grandfather, Henry Larcom Abbot"
"","","","http://npgportraits.si.edu/eMuseumNPG/media/previews/6600030a.jpg","","1966","","","1913","88.9cm x 76.2cm (35"" x 30""), Accurate ","","Painting","","Oil on canvas","","Louis Mayer","Jean Louis Rodolphe Agassiz","National Portrait Gallery, Smithsonian Institution; transfer from the National Museum of Natural History"
"","","","http://npgportraits.si.edu/eMuseumNPG/media/previews/6600052a.jpg","","1966-05","","","1872-1873","92cm x 76.5cm (36 1/4"" x 30 1/8""), Accurate ","","Painting","","Oil on canvas","","Walter Ingalls","Jean Louis Rodolphe Agassiz","National Portrait Gallery, Smithsonian Institution; transfer from the Smithsonian American Art Museum"
"","","","http://npgportraits.si.edu/eMuseumNPG/media/previews/7000062a.jpg","","1970","","","1969","Board: 102.2 x 81.3 x 2.5cm (40 1/4 x 32 x 1"") Frame: 118.1 x 97.8 x 6.4cm (46 1/2 x 38 1/2 x 2 1/2"") ","","Painting","","Oil on board","","Ronald B. Anderson","Apollo 11 Crew","National Portrait Gallery, Smithsonian Institution; gift of Mr. and Mrs. William D. Blakemore, Midland, Texas; Mr. and Mrs. Omar Harvey, Dallas, Texas; Mr. and Mrs. R.K. Keitz, Dallas, Texas; Col. and Mrs. Thomas A.P. Krock, Dallas, Texas; Mr. and Mrs. W.R. Lloyd, Jr., Houston, Texas; Dr. and Mrs. J.R. Maxfield, Dallas, Texas; Mr. and Mrs. Wesley Nagorny, Jr., Houston, Texas; Dr. and Mrs. H.B. Renfrow, Dallas, Texas; Mr. and Mrs. J.W. Taylor, Dallas, Texas; Dr. and Mrs. J. Robert Terry, Miami, Florida; Mr. and Mrs. Thomas B. Young, Dallas, Texas; and an anonymous donor"
"","","","http://npgportraits.si.edu/eMuseumNPG/media/previews/B0000234C.jpg","","2010-05-17","","","2009","Stretcher: 50.8 x 76.2cm (20 x 30"") Frame: 70.2 x 95.3 x 5.1cm (27 5/8 x 37 1/2 x 2"") ","","Painting","","Oil on canvas","","Robert Theodore McCall","Neil Armstrong","National Portrait Gallery, Smithsonian Institution; gift of McCall Studios"
"","Born Wapakoneta, Ohio   On July 20, 1969, Neil Armstrong became the first person to walk on the moon, meeting President John F. Kennedy’s 1961 goal for Americans to reach the moon by the end of the decade. Descending from the Lunar Excursion Module (LEM) to the lunar surface, Armstrong declared, “One small step for (a) man, one giant leap for mankind” as a camera beamed images back to earth. The lunar landing-during which Armstrong had to override the LEM’s autopilot to manually guide the aircraft to a safe landing on the moon-represents a defining moment in Armstrong’s distinguished career, which included service in the Korean War. In honor of his achievement, the nation recognized him with the Presidential Medal of Freedom in 1969; he also received many other national and international accolades. He went on to teach and to work in private industry and helped the nation continue to strengthen its space program.","","http://npgportraits.si.edu/eMuseumNPG/media/previews/78T1686A_2.jpg","","1978-05","","","1969","Sight: 76.8 x 56.5cm (30 1/4 x 22 1/4"") Frame: 83.8 x 64.1 x 3.8cm (33 x 25 1/4 x 1 1/2"") ","","Painting","","Acrylic and casein on Masonite","","Louis Glanzman","Neil Armstrong","National Portrait Gallery, Smithsonian Institution; gift of Time magazine"
"","","","http://npgportraits.si.edu/eMuseumNPG/media/previews/6800074a.jpg","","1968-11","","","1883","76.2cm x 63.5cm (30"" x 25""), Accurate ","","Painting","","Oil on canvas","","Matthew Wilson","Chester Alan Arthur","National Portrait Gallery, Smithsonian Institution; transfer from the Harry S Truman Library, Independence, Missouri"
"","","","http://npgportraits.si.edu/eMuseumNPG/media/previews/ny270002.jpg","","1887","","","1887?","134.5cm x 98.6cm (52 15/16"" x 38 13/16""), Sight ","","Painting","","","","Eastman Johnson","Chester Alan Arthur","Union League Club, New York"
"","","","http://npgportraits.si.edu/eMuseumNPG/media/previews/il090060.jpg","","1887","","","1884","Sight: 75 x 62.4cm (29 1/2 x 24 9/16"") ","","Painting","","Oil on canvas","","George Peter Alexander Healy","Chester Alan Arthur","The Newberry Library, Chicago, Illinois"
"","When Vice President Chester Arthur succeeded to the presidency on the death of James Garfield, a newspaper noted that he was ""not a man who would have entered anybody's mind"" as a worthy candidate for the office. Indeed, as a major player in a spoils system that reduced the civil service to a vehicle for rewarding party faithful, he struck many as an emblem of all that was wrong in American politics. As president, however, Arthur rose above his past to promote landmark legislation designed to curb the spoils system. He also proved to be a foe of other forms of corruption. When, for example, a ""pork barrel"" bill for public improvements reached his desk, he vetoed it.  This head-and-shoulders portrait can only hint at the fashionable figure that Arthur cut. With his muttonchop whiskers ""trimmed to the perfection point"" and his suits made of only the finest fabrics, he invariably looked like the very epitome of the well-bred Victorian gentleman. ","","http://npgportraits.si.edu/eMuseumNPG/media/previews/6700114a.jpg","","1967-12","","","1881","Sight: 62.2 x 50.8cm (24 1/2 x 20"") Frame: 79.1 x 69.2 x 7.6cm (31 1/8 x 27 1/4 x 3"") ","","Painting","","Oil on canvas","","Ole Peter Hansen Balling","Chester A. Arthur","National Portrait Gallery, Smithsonian Institution; gift of Mrs. Harry Newton Blue; Frame conserved with funds from the Smithsonian Women's Committee"
"","","","http://npgportraits.si.edu/eMuseumNPG/media/previews/ny120016_2.jpg","","1954","","","c. 1875-1885","121.1cm x 50.2cm (47 11/16"" x 19 3/4""), Accurate ","","Painting","","Watercolor on silk","","F. Nakayama","Chester Alan Arthur","Albany Institute of History and Art, Gift of Mr. Miland G. Batcheller"
"","","","http://npgportraits.si.edu/eMuseumNPG/media/previews/.jpg","","1978-05","","","1968","53.9cm x 40cm (21 1/4"" x 15 3/4""), Accurate ","","Painting","","Watercolor, pencil and tempera on Masonite","","Hector Garrido","Astronauts","National Portrait Gallery, Smithsonian Institution; gift of Time magazine"
"","","","http://npgportraits.si.edu/eMuseumNPG/media/previews/7910130a.jpg","","1979-11","","","1887","76.2cm x 63.4cm (30"" x 24 15/16""), Accurate ","","Painting","","Oil on canvas","","Henry Ulke","Spencer Fullerton Baird","National Portrait Gallery, Smithsonian Institution; transfer from the Smithsonian American Art Museum"
"","","","http://npgportraits.si.edu/eMuseumNPG/media/previews/8500012a.jpg","","1985-05","","","1823","90.8cm x 70.5cm (35 3/4"" x 27 3/4""), Accurate ","","Painting","","Oil on canvas","","Chester Harding","Loammi Baldwin","National Portrait Gallery, Smithsonian Institution"
"","Born New York City  David Baltimore is regarded as one of the world's most influential biologists. In 1975, at the age of thirty-seven, he won the Nobel Prize for his research on RNA viruses and their abilities to infect and permanently alter healthy cells. His research has aided the scientific understanding of retroviruses such as HIV and the molecular basis of the immune response. Baltimore is regularly consulted by the federal government and worldwide health organizations in the fight against and treatment of AIDS. Describing the joy of discovery, Baltimore explains: ""You go home, and you think about it when you go to sleep, and you think about it when you wake up . . . and you know there is something new in the world."" In this portrait by Jon Friedman, Baltimore appears with partial views of two photographs by the Cuban photographer Abelardo Morell, testifying to his long-standing interest in art.","","http://npgportraits.si.edu/eMuseumNPG/media/previews/A7000002B.jpg","","2007-02-20","","","2006","Sheet: 76.6 x 58.1cm (30 3/16 x 22 7/8"") Mat: 91.4 x 66cm (36 x 26"") ","","Painting","","Oil on paper","","Jon R. Friedman","David Baltimore","National Portrait Gallery, Smithsonian Institution; gift of Jon R. Friedman"
"","David Baltimore is regarded as one of the world's most influential biologists. In 1975, at the age of thirty-seven, he won the Nobel Prize for his research on RNA viruses and their abilities to infect and permanently alter healthy cells. His research has increased the scientific understanding of retroviruses such as HIV and the molecular basis of the immune response. Baltimore is regularly consulted by the federal government and health organizations worldwide in the fight against and treatment of AIDS. Describing the joy of discovery, Baltimore explains: ""You go home, and you think about it when you go to sleep, and you think about it when you wake up . . . and you know there is something new in the world."" In this portrait by Jon Friedman, Baltimore appears with a print by Richard Serra, testifying to his long-standing interest in art. ","","http://npgportraits.si.edu/eMuseumNPG/media/previews/A7000004B.jpg","","2007-02-20","","","2006","Sheet: 76.3 x 56.4 cm (30 1/16 x 22 3/16"") Oversize mat. ","","Painting","","Oil and acrylic on paper","","Jon R. Friedman","David Baltimore","National Portrait Gallery, Smithsonian Institution; gift of Jon R. Friedman"
"","","","http://npgportraits.si.edu/eMuseumNPG/media/previews/8500148A.jpg","","1985-11","","","1919","76.2cm x 63.5cm (30"" x 25""), Accurate ","","Painting","","Oil on canvas","","John Wycliffe Lowes Forster","Alexander Graham Bell","National Portrait Gallery, Smithsonian Institution; gift of Gilbert Grosvenor Coville"
"","","","http://npgportraits.si.edu/eMuseumNPG/media/previews/7700306A_1.jpg","","1977","","","1886","132.7cm x 101.6cm (52 1/4"" x 40""), Accurate ","","Painting","","Oil on canvas","","George Da Maduro Peixotto","Julius Bien","National Portrait Gallery, Smithsonian Institution; transfer from the Smithsonian American Art Museum; gift of Julius Bien, Jr., 1920"
"","","","http://npgportraits.si.edu/eMuseumNPG/media/previews/78t0518a.jpg","","1978-05","","","1977","81.6cm x 63.5cm (32 1/8"" x 25""), Accurate ","","Painting","","Acrylic on board","","Roy Andersen","Harold Brown","National Portrait Gallery, Smithsonian Institution; gift of Time magazine"
"","","","http://npgportraits.si.edu/eMuseumNPG/media/previews/8200110a.jpg","","1982-05-11","","","1902","122.5cm x 95.3cm (48 1/4"" x 37 1/2""), Accurate ","","Painting","","Oil on canvas","","George Henry Taggart","John Moses Browning","National Portrait Gallery, Smithsonian Institution; gift of Val A. Browning"
"","","","http://npgportraits.si.edu/eMuseumNPG/media/previews/7900298a.jpg","","1979-04-25","","","c. 1845","Stretcher: 76.3cm x 63.5cm (30 1/16"" x 25"") ","","Painting","","Oil on canvas","","","William Austin Burt","National Portrait Gallery, Smithsonian Institution; gift of Mrs. Philip Burt Fisher"
"","The Harmon Foundation, a philanthropic organization based in New York City and active from (1922-1967) included this portrait in their exhibition “Portraits of Outstanding Americans of Negro Origins” which documented noteworthy African Americans’ contributions to the country. Modeling their goal of social equality, the Harmon sought portraits from an African-American artist, Laura Wheeler Waring and Euro-American artist, Betsy Graves Reyneau.  The two painters  followed the conventional codes of academic portraiture, seeking to convey their sitters extraordinary accomplishments.  This painting, along with a variety of educational materials, toured nation-wide for ten years serving as a visual rebuttal to racism.","","http://npgportraits.si.edu/eMuseumNPG/media/previews/6500142A_2.jpg","","1965-04","","","1942","Stretcher: 114.9 x 89.5 x 2.5cm (45 1/4 x 35 1/4 x 1"") Frame: 130.2 x 104.8 x 5.7cm (51 1/4 x 41 1/4 x 2 1/4"") ","","Painting","","Oil on canvas","","Betsy Graves Reyneau","George Washington Carver","National Portrait Gallery, Smithsonian Institution; transfer from the Smithsonian American Art Museum; gift of the George Washington Carver Memorial Committee to the Smithsonian Institution, 1944"
"","","","http://npgportraits.si.edu/eMuseumNPG/media/previews/87t0004a.jpg","","1987-01-18","","","1938","76.2cm x 63.4cm (30"" x 24 15/16""), Accurate ","","Painting","","Oil on canvas","","Samuel Johnson Woolf","Charles Lindbergh and Alexis Carrel","National Portrait Gallery, Smithsonian Institution"
"","De Witt Clinton, masterful politician of New York-in and out of office as mayor of the city and governor of the state-was a man who saw America with the potential for unlimited progress. His great dream was for a canal linking the Great Lakes with the Hudson River. When expected federal financing did not materialize, Clinton set out to put public pressure for funding on the state legislature. A bond issue was approved just in time for Clinton, newly elected as governor, to preside over the groundbreaking ceremonies on July 4, 1817. Eight years later, Clinton, returned to office, directed the great celebration of the Erie Canal's completion. ""Clinton's Ditch"" was a popular and immediate financial success and contributed enormously to the growth and prosperity of New York and the Northwest Territory as well. ","","http://npgportraits.si.edu/eMuseumNPG/media/previews/6500096A_1.jpg","","1965-02","","","c. 1816","Stretcher: 122.9 x 92.7 x 2.5cm (48 3/8 x 36 1/2 x 1"") Frame: 147 x 116.2 x 11.4cm (57 7/8 x 45 3/4 x 4 1/2"") ","","Painting","","Oil on canvas","","John Wesley Jarvis","DeWitt Clinton","National Portrait Gallery, Smithsonian Institution; transfer from the National Gallery of Art; gift of the A.W. Mellon Educational and Charitable Trust, 1942"
"","","","http://npgportraits.si.edu/eMuseumNPG/media/previews/78t0628a.jpg","","1978-05","","","1963","48.5cm x 38.4cm (19 1/8"" x 15 1/8""), Accurate ","","Painting","","Tempera, pencil and ink on board","","Boris Chaliapin","Gordon Cooper","National Portrait Gallery, Smithsonian Institution; gift of Time magazine"
"","","","http://npgportraits.si.edu/eMuseumNPG/media/previews/6610092a.jpg","","1966-05","","","c. 1945","91.5cm x 59.7cm (36"" x 23 1/2""), Accurate ","","Painting","","Oil on canvas","","","John Adolphus Bernard Dahlgren","National Portrait Gallery, Smithsonian Institution; gift of Mrs. John Vinton Dahlgren, Woodbine, Maryland"
"","","","http://npgportraits.si.edu/eMuseumNPG/media/previews/8100192A_1.jpg","","1981-10-13","","","1920","112cm x 85cm (44 1/8"" x 33 7/16""), Accurate No frame ","","Painting","","Oil on canvas","","Wilford Seymour Conrow","Dr. William Healey Dall","National Portrait Gallery, Smithsonian Institution; gift of Whitney Dall"
"","","","http://npgportraits.si.edu/eMuseumNPG/media/previews/6610078a.jpg","","1966","","","1910","86.4cm x 68.6cm (34"" x 27""), Accurate ","","Painting","","Oil on canvas","","Charles Courtney Curran","Richard Delafield","National Portrait Gallery, Smithsonian Institution; transfer from the Smithsonian American Art Museum; gift of Albert Delafield, 1910"
"","","","http://npgportraits.si.edu/eMuseumNPG/media/previews/6510044a.jpg","","1965","","","","111.8cm x 91.8cm (44"" x 36 1/8""), Accurate ","","Painting","","Oil on canvas","","","Lester Hoxie Dewey","National Portrait Gallery, Smithsonian Institution; transfer from the National Archives"
"","","","http://npgportraits.si.edu/eMuseumNPG/media/previews/7500016A_1.jpg","","1975-05","","","1890","76.2cm x 63.5cm (30"" x 25""), Accurate ","","Painting","","Oil on canvas","","M. W. Clark","William Franklin Draper","National Portrait Gallery, Smithsonian Institution; gift of William F. Draper, descendant"
"","","","http://npgportraits.si.edu/eMuseumNPG/media/previews/pr010052.jpg","","","","","1782","43.1cm x 27.6cm (16 15/16"" x 10 7/8""), Accurate ","","Painting","","Oil on panel","","José Campeche y Jordán","Jose Dufresne","Museo de Historia, Antropología y Arte, Universidad de Puerto Rico, Recinto de Rio Piedras"
"","Born Milan, Ohio  Painted during Thomas Alva Edison's visit to Paris for the Universal Exposition of 1889, Abraham A. Anderson's portrait depicts the wealthy entrepreneur at the height of his career. World-renowned for his inventions-including the phonograph, incandescent lamp, and movie camera-Edison, who received numerous honors in Europe, presided over one of the most popular exhibitions at the exposition. Particularly intriguing to audiences was Edison's phonograph, the recent improvement of which Anderson chose to picture. Although Edison patented the device in 1877, earning himself the title of the ""Wizard of Menlo Park,"" eleven years passed before he achieved sufficient clarity of sound to make it commercially viable. Using the word ""specie"" as a test, Edison labored until it could be properly transmitted. ""When that was done,"" Edison reported, ""I knew everything else could be done, which was a fact.""","","http://npgportraits.si.edu/eMuseumNPG/media/previews/6500038a.jpg","","1965","","","1890","Stretcher: 114.3 x 138.7 x 2.5cm (45 x 54 5/8 x 1"") Frame: 157.5 x 181.8 x 9.8cm (62 x 71 9/16 x 3 7/8"") ","","Painting","","Oil on canvas","","Abraham Archibald Anderson","Thomas Alva Edison","National Portrait Gallery, Smithsonian Institution; transfer from the Smithsonian American Art Museum; gift of Eleanor A. Campbell to the Smithsonian Institution, 1942"
"","","","http://npgportraits.si.edu/eMuseumNPG/media/previews/6600012a.jpg","","1966-05","","","1950","81.3cm x 63.5cm (32"" x 25""), Accurate ","","Painting","","Oil on burlap","","Josef Scharl","Albert Einstein","National Portrait Gallery, Smithsonian Institution"
"","The most brilliant scientist of the twentieth century, physicist Albert Einstein inspires comparisons to Isaac Newton. By the time he reached thirty, his theory of relativity and work in quantum mechanics had revolutionized physics and profoundly altered our perception of the world. Einstein naturally commanded great prestige in the United States when he sought refuge from the Nazi regime of his native Germany in 1933. His words thus carried enormous weight in 1939 when he wrote a letter alerting President Roosevelt that Germany was moving toward the development of nuclear weaponry. Eventually, that warning gave impetus to the Manhattan Project, the top-secret venture that in 1945 produced the world's first atomic bomb. While sitting for this likeness in 1944, Einstein mused to his portraitist, ""After fifty years they will say of me, either he was a great man or a fool!""","","http://npgportraits.si.edu/eMuseumNPG/media/previews/6700028a.jpg","","1967-01","","","1944","Stretcher: 102.9 x 77.5cm (40 1/2 x 30 1/2"") Frame: 123.2 x 97.8 x 9.5cm (48 1/2 x 38 1/2 x 3 3/4"") ","","Painting","","Oil on canvas","","Max Westfield","Albert Einstein","National Portrait Gallery, Smithsonian Institution; gift of the artist"
"","Before he came to the United States in 1839, the Swedish-born engineer and inventor John Ericsson revolutionized navigation with his development of the screw propeller. He achieved fame during the Civil War when he designed the ironclad warship Monitor, the federal response to the threat of the Confederate ironclad Virginia (the refitted USS Merrimack). Ericsson, posing with a model of his ""tin can on a raft,"" always worked alone and had previously perfected engines for many purposes, including fire engines and a steam locomotive. He later developed the forerunner of the modern naval destroyer.","","http://npgportraits.si.edu/eMuseumNPG/media/previews/6600090a.jpg","","1966","","","1912","Stretcher (Verified): 123.8 x 92.7 x 2.5cm (48 3/4 x 36 1/2 x 1"") Frame (Verified): 154.3 x 122.6 x 11.4cm (60 3/4 x 48 1/4 x 4 1/2"") ","","Painting","","Oil on canvas","","Arvid Frederick Nyholm","John Ericsson","National Portrait Gallery, Smithsonian Institution; transfer from the Smithsonian American Art Museum; gift of the Swedish American Republican League of Illinois to the Smithsonian Institution, 1912"
"","","","http://npgportraits.si.edu/eMuseumNPG/media/previews/6600092a.jpg","","1966","","","1849","76.2cm x 63.5cm (30"" x 25""), Accurate ","","Painting","","Oil on canvas","","Thomas Sully","James Pollard Espy","National Portrait Gallery, Smithsonian Institution; transfer from the Smithsonian American Art Museum; gift of the Espy family to the Smithsonian Institution, 1860"
"","","","http://npgportraits.si.edu/eMuseumNPG/media/previews/6710204a.jpg","","1967-12-08","","","","61cm x 50.8cm (24"" x 20""), Accurate ","","Painting","","Oil on canvas","","","Eberhard Faber","National Portrait Gallery, Smithsonian Institution; gift of Eberhard Faber"
"","","","http://npgportraits.si.edu/eMuseumNPG/media/previews/78t0722a.jpg","","1978-05","","","1960","51.4cm x 38.4cm (20 1/4"" x 15 1/8""), Accurate ","","Painting","","Tempera, pencil and ink on board","","Boris Chaliapin","Sherman Fairchild","National Portrait Gallery, Smithsonian Institution; gift of Time magazine"
"","","","http://npgportraits.si.edu/eMuseumNPG/media/previews/97T0160A_1.jpg","","1997-12-08","","","1941","26.3 x 23.5 cm (10 3/8 x 9 1/4"") ","","Painting","","Gouache on board","","Ernest Hamlin Baker","Henry Ford","National Portrait Gallery, Smithsonian Institution"
