"Artist_URI","Linktodata","Titleofartwork","ImageURL","birthYear","deathYear","Dimensions","Technique_uri","Typeofartwork","Nationality_uri","Nationality","Artist_Appellation_URI","Artistname","Credit"
"E21_Person---dev#classLink","E22_Man-Made_Object---dev#classLink","E35_Title---rdf-schema#label","E38_Image---dev#classLink","E52_Time-Span---P82_at_some_time_within","E52_Time-Span---P82_at_some_time_within","E54_Dimension---P3_has_note","E55_Type---dev#classLink","E55_Type---rdf-schema#label","E74_Group---dev#classLink","E74_Group---rdf-schema#label","E82_Actor_Appellation---dev#classLink","E82_Actor_Appellation---rdf-schema#label","E8_Acquisition---P3_has_note"
"","http://www.artic.edu/aic/collections/artwork/134047?search_no=1&index=0","""Acrobat"" Upside Down Figure, 1926","http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000004/50626_356716.jpg","","","27 x 16.5 x 7 cm (10 5/8 x 6 1/2 x 2 3/4 in.)","","Bronze","","American","","Gaston Lachaise","Bequest of Katharine Kuh"
"","http://www.artic.edu/aic/collections/artwork/156073?search_no=1&index=3","""Belmead"" Center table, c. 1846","http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000005/6676_357883.jpg","","","72.4 x 104.1 x 90.2 cm (28 1/2 x 41 x 35 1/2 in.)","","Rosewood oak walnut marble","","American","","Alexander Jackson Davis","Gift of The Antiquarian Society"
"","http://www.artic.edu/aic/collections/artwork/158980?search_no=1&index=10","""Royal Flemish"" Vase, 1889/95","http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000005/7092_358786.jpg","","","39.1 cm (15 3/8 in.)","","Partially gilded and painted blown mold glass
Height:","","American","","Mount Washington Glass Company","Through prior acquisitions of Rowena Marsh Abbott Kate L. Brewster Mr. and Mrs. Frederick Castle Emma B. Hodge Mrs. Potter Palmer II Edward Kendall Rogers Jerome and Irene Schultz and Mr. and Mrs. William Swartchild Jr."
"","http://www.artic.edu/aic/collections/artwork/97900?search_no=1&index=14","9th U.S. Infantry Entering Peking, August 15, 1900, 1900","http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000143/4994_1490418.jpg","","","68.9 x 102.2 cm (27 1/8 x 40 1/4 in.)","","Oil on canvas","","American","","Frederic Remington","George F. Harding Collection"
"","http://www.artic.edu/aic/collections/artwork/28849?search_no=1&index=16","A City Park, c. 1887","http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000140/4114_1461057.jpg","","","34.6 x 49.9 cm (13 5/8 x 19 5/8 in.)","","Oil on canvas","","American","","William Merritt Chase","Signed lower right: ""Wm M. Chase.""

Bequest of Dr. John J. Ireland"
"","http://www.artic.edu/aic/collections/artwork/27138?search_no=1&index=18","A Friendly Warning, 1881/90","http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000073/3993_623731.jpg","","","62.9 x 81.9 cm (24 3/4 x 32 1/4 in.)","","Oil on canvas","","American","","Thomas Hicks","A.A. McKay Fund Income"
"","http://www.artic.edu/aic/collections/artwork/93802?search_no=1&index=17","A Face from Georgia, 1970/74","http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000073/4530_623947.jpg","","","39.4 x 27.3 cm (15 1/2 x 10 3/4 in.)","","Oil on canvas","","American","","Ivan Albright","Signed lower right: Ivan Albright
dated lower left: 1974

Gift of Ivan Albright"
"","http://www.artic.edu/aic/collections/artwork/156072?search_no=77&index=31","Abigail Inskeep Bradford, 1803/08","http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000005/6675_357991.jpg","","","68.6 x 55.9 cm (27 x 22 in.)","","Oil on canvas","","American","","Rembrandt Peale","Gift of Mrs. Herbert A. Vance"
"","http://www.artic.edu/aic/collections/artwork/103114?search_no=77&index=33","Abraham Lincoln, modeled 1912, cast after 1912","http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000094/5100_763110.jpg","","","95.2 cm (37 1/2 in.)","","Bronze","","American","","Daniel Chester French","Inscribed top of base at left: ""Daniel C. French Sc./1912"" 
Foundry marks on back of base at right: ""Roman Bronze Works N.Y.""

Gift of Mrs. Philip D. Sang in memory of Philip D. Sang"
"","http://www.artic.edu/aic/collections/artwork/111659?search_no=77&index=34","Abraham Lincoln, modeled in plaster 1916, cast in bronze after 1916","http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000117/5810_1171464.jpg","","","83.8 cm (33 in.)","","Bronze
h.","","American","","Daniel Chester French","Inscribed top of base at back right: ""Daniel C French / March 1916""

Bequest of Arthur Rubloff Trust"
"","http://www.artic.edu/aic/collections/artwork/64715?search_no=77&index=36","After a Summer Shower, 1894","http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000117/56854_1171844.jpg","","","81.9 x 107.6 cm (32 1/4 x 42 3/8 in.)","","Oil on canvas","","American","","George Inness","Signed lower right: ""G. Inness 1894""

Edward B. Butler Collection"
"","http://www.artic.edu/aic/collections/artwork/31816?search_no=77&index=37","After the Bullfight, 1873","http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000128/169442_1299313.jpg","","","82.5 x 64 cm (32 1/8 x 25 3/16 in.)","","Oil on canvas","","American","","Mary Cassatt","Signed l. left: ""M.S.C./Seville/1873""

Bequest of Mrs. Sterling Morton"
"","http://www.artic.edu/aic/collections/artwork/71573?search_no=76&index=21","A Holiday, c. 1915","http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000130/171641_1321570.jpg","","","76.4 x 101.8 cm (30 1/8 x 40 1/8 in.)","","Oil on canvas","","American","","Edward Henry Potthast","Signed lower left: E. Potthast

Friends of American Art Collection"
"","http://www.artic.edu/aic/collections/artwork/68792?search_no=76&index=23","A Marine, c. 1874/75","http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000117/405_1168614.jpg","","","76.8 x 114.9 cm (30 1/4 x 45 1/4 in.)","","Oil on canvas","","American","","George Inness","Signed lower left: ""G. Inness""

Edward B. Butler Collection"
"","http://www.artic.edu/aic/collections/artwork/97907?search_no=76&index=24","A Mexican Vaquero, 1890","http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000117/5000_1173914.jpg","","","82.6 x 58.4 cm (32 1/2 x 23 in.)","","Oil on canvas","","American","","Frederic Remington","Signed lower right: ""Copyright 1890 / By/ Frederic Remington""

George F. Harding Collection"
"","http://www.artic.edu/aic/collections/artwork/79012?search_no=76&index=27","A Sly Drink at the Camp (Study), 1860/73","http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000073/8608_625387.jpg","","","53.7 x 63.5 cm (21 1/8 x 25 in.)","","Oil on millboard","","American","","Eastman Johnson","Gift of Emily Crane Chadbourne"
"","http://www.artic.edu/aic/collections/artwork/819?search_no=76&index=29","Abdiel, 1838/1843","http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000094/238_761184.jpg","","","61 cm (24 in.)","","Marble
h.","","American","","Horatio Greenough","Gift of Elizabeth G. H. Bartol"
"","http://www.artic.edu/aic/collections/artwork/93813?search_no=2&index=51","And Man Created God in His Own Image, 1930-31","http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000132/4543_1356116.jpg","","","121.9 x 66 cm (48 x 26 in.)","","Oil on canvas","","American","","Ivan Albright","Gift of Ivan Albright"
"","http://www.artic.edu/aic/collections/artwork/105111?search_no=2&index=58","Armchair, 1967","http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000128/26858_1301371.jpg","","","77.4 x 85.8 x 71.1 cm (30 1/2 x 33 3/4 x 28 in.)","","White vinyl-covered steel mesh","","American","","Designed by Harry Bertoia","Gift of Malcolm Kay Kim and Kyle Kamin"
"","http://www.artic.edu/aic/collections/artwork/145683?search_no=2&index=59","Armchair, patented in 1869","http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000094/6168_763164.jpg","","","139.7 x 61 x 66 cm (55 x 24 x 26 in.)","","Ebonized walnut with gilt decoration","","American","","George Jakob Hunzinger","Stamped on the rear of the left front leg: ""HUNZINGER/N.Y./PAT. MARCH 30/1869

Perry and Gertrude Herst Endowment"
"","http://www.artic.edu/aic/collections/artwork/663?search_no=1&index=42","Alice, 1892","http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000003/205_355049.jpg","","","171.8 x 125.4 cm (67 5/8 x 49 3/8 in.)","","Oil on canvas","","American","","William Merritt Chase","Gift of Ernest A. Hamill"
"","http://www.artic.edu/aic/collections/artwork/64076?search_no=1&index=43","America, 1850�1854","http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000094/358_761028.jpg","","","73.7 cm (29 in.)","","Marble
h.","","American","","Hiram Powers","The Art Institute of Chicago Purchase Fund"
"","http://www.artic.edu/aic/collections/artwork/6565?search_no=1&index=44","American Gothic, 1930","http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000132/50629_1357815.jpg","","","78 x 65.3 cm (30 3/4 x 25 3/4 in.)","","Oil on Beaver Board","","American","","Grant Wood","Signed and dated lower right on overalls: GRANT / WOOD / 1930

Friends of American Art Collection"
"","http://www.artic.edu/aic/collections/artwork/7162?search_no=1&index=45","Among the Redwoods, 1920","http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000089/984_727877.jpg","","","76.8 x 64.8 cm (30 1/4 x 25 1/2 in.)","","Oil on canvas","","American","","Wallace L. DeWolf","Gift of Wallace L. DeWolf"
"","http://www.artic.edu/aic/collections/artwork/107050?search_no=1&index=46","Amor Caritas, modeled 1897; cast after 1899","http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000094/4939_761376.jpg","","","131.4 x 80.7 cm (51 3/4 x 31 3/4 in.)","","Bronze","","American","","Augustus Saint-Gaudens","Inscribed lower left: ""AVGVSTVS./SAINT-GAVDENS/MDCCCXCVII""

Plaque at top inscribed: ""Amor Caritas""

Roger McCormick Fund"
"","http://www.artic.edu/aic/collections/artwork/188528?search_no=1&index=49","Anagama Vase, 1980/1989","http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000118/55356_1181864.jpg","","","31.8 x 22.9 cm (12 1/2 x 9 in.)","","Anagama-fired stoneware","","American","","Toshiko Takaezu","Gift of Toshiko Takaezu"
"","http://www.artic.edu/aic/collections/artwork/34210?search_no=2&index=73","Armchair, 1908","http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000107/83394_913100.jpg","","","86.9 x 58.5 x 57.1 cm (34 1/4 x 23 x 22 1/2 in.)","","Oak","","American","","Frank Lloyd Wright","Gift of Mr. and Mrs. F. M. Fahrenwald"
"","http://www.artic.edu/aic/collections/artwork/136998?search_no=3&index=62","Armchair, 1894/96","http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000016/83396_382924.jpg","","","86 x 75 x 56 cm (33 7/8 x 29 1/2 x 22 in.)","","Green-stained oak with caned inserts","","American","","David Wolcott Kendall","Gift of the Antiquarian Society through Morris and Jane Weeden"
"","http://www.artic.edu/aic/collections/artwork/33079?search_no=3&index=69","Armchair, 1870/75","http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000117/4204_1171314.jpg","","","98 x 64 x 58 cm (38 1/2 x 25 1/4 x 22 3/4 in.)","","Rosewood with ash juniper and burl maple veneer ormolu mounts original woven tapestry fabric","","American","","Attributed to Pottier and Stymus","Painted in black paint on crest rail underneath upholstery: ""3924. Ingersoll""

Suzanne Waller Worthy Fund"
"","http://www.artic.edu/aic/collections/artwork/55209?search_no=1&index=88","Armenian Fathers, 1870","http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000073/161_622735.jpg","","","138.4 x 102.9 cm (54 1/2 x 40 1/2 in.)","","Oil on canvas","","American","","George Peter Alexander Healy","Gift of G. P. A. Healy"
"","http://www.artic.edu/aic/collections/artwork/8958?search_no=3&index=90","Arrangement in Flesh Color and Brown: Portrait of Arthur Jerome Eddy, 1894","http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000142/1656_1482217.jpg","","","209.9 x 92.4 cm (82 5/8 x 36 3/8 in.)","","Oil on canvas","","American","","James McNeill Whistler","Signed middle right: butterfly monogram

Arthur Jerome Eddy Memorial Collection"
"","http://www.artic.edu/aic/collections/artwork/15401?search_no=3&index=91","At Mouquin's, 1905","http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000130/171646_1330130.jpg","","","122.4 x 92.1 cm (48 1/8 x 36 1/4 in.)","","Oil on canvas","","American","","William Glackens","Signed lower left: ""W. Glackens""

Friends of American Art Collection"
"","http://www.artic.edu/aic/collections/artwork/71564?search_no=3&index=93","Autumn, c. 1914","http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000126/166599_1274753.jpg","","","81.3 x 101.6 cm (32 x 40 in.)","","Oil on canvas","","American","","Wilson H. Irvine","Signed lower right: IRVINE

Friends of American Art Collection"
"","http://www.artic.edu/aic/collections/artwork/102622?search_no=3&index=96","Bacchante with Infant Faun, modeled in 1894, cast after 1894","http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000094/5181_763104.jpg","","","86.3 cm (34 in.)
Signed on base: ""F. MacMonnies 1894""

Foundry (stamped)","","Bronze
h.","","American","","Frederick W. Macmonnies",": ""Jaboeuf & Rouard / FONDEURS/A/PARIS/10 & 12/R DE L'ASILE POPINCOURT""

Restricted gift of Brooks and Hope B. McCormick Foundation"
"","http://www.artic.edu/aic/collections/artwork/107862?search_no=3&index=98","Bailey's Beach, Newport, R.I., 1901","http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000125/166071_1270261.jpg","","","61 x 66 cm (24 x 26 in.)","","Oil on canvas","","American","","Childe Hassam","Signed lower left: Childe Hassam 1901

On back: c.1901

Walter H. Schulze Memorial Collection"
"","http://www.artic.edu/aic/collections/artwork/69533?search_no=1&index=116","Bird's Nest and Ferns, 1863","http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000140/5423_1461097.jpg","","","20 x 16.8 cm (7 7/8 x 6 5/8 in.)
Inscription: signed lower right: ""F. Bridges / 1863""
On back of frame: oval sticker: ""Pollock's / Picture Store / 10 Hamilton Place / Boston""; sticker fragment upper right: ""(?) by F. Bridges / Laura A. J (?)""; stock number on frame: ""44401""; inscription in pencil upsidedown on top: ""F. Beid???""; half artist's supply mark stencil in red: ""H. H(?) / Manuf (?) / Phila (?) / 10 (?)","","Oil on panel","","American","","Fidelia Bridges","""

Restricted gift of Charles C. Haffner III"
"","http://www.artic.edu/aic/collections/artwork/46327?search_no=1&index=117","Black Cross, New Mexico, 1929","http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000133/85157_1377609.jpg","","","99.1 x 76.2 cm (39 x 30 in.)","","Oil on canvas","","American","","Georgia O'Keeffe","Art Institute Purchase Fund"
"","http://www.artic.edu/aic/collections/artwork/188521?search_no=1&index=118","Black Hole, 2000","http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000118/55372_1182024.jpg","","","33 x 26.7 cm (13 x 10 1/2 in.)","","Glazed stoneware","","American","","Toshiko Takaezu","Gift of Toshiko Takaezu"
"","http://www.artic.edu/aic/collections/artwork/70035?search_no=78&index=100","Ballet Skirt or Electric Light, 1927","http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000098/137319_823006.jpg","","","91.4 x 76.2 cm (36 x 30 in.)","","Oil on canvas","","American","","Georgia O'Keeffe","Alfred Stieglitz Collection bequest of Georgia O'Keeffe"
"","http://www.artic.edu/aic/collections/artwork/72803?search_no=78&index=101","Baptismal Basin, 1755","http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000016/83410_383101.jpg","","","7.5 x 30.1 cm (diam.) (2 15/16 x 12 1/16 in.)
Marked near the center on interior of bowl: ""S. E"" (under a crown and above a device in shaped shield)","","Silver","","American","","Samuel Edwards","; engraved around rim of basin: ""The Bequest of Mr. John Willis to the Church of Christ in Medford 1755""

J. Peter McCormick Fund"
"","http://www.artic.edu/aic/collections/artwork/30709?search_no=78&index=103","Bar-room Scene, 1835","http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000128/114831_1305517.jpg","","","57.4 x 69.7 cm (22 5/8 x 27 7/16 in.)","","Oil on canvas","","American","","William Sidney Mount","Signed lower left: ""W. S. Mount/1835""

William Owen and Erna Sawyer Goodman Collection"
"","http://www.artic.edu/aic/collections/artwork/120082?search_no=78&index=105","Barnyard in Pennsylvania, 1859/60","http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000073/5709_623653.jpg","","","20.3 x 34.3 cm (8 x 13 1/2 in.)","","Oil on composition board","","American","","Edward Lamson Henry","Through prior acquisition of the Charles H. and Mary F. S. Worcester Collection"
"","http://www.artic.edu/aic/collections/artwork/129639?search_no=79&index=121","Blasted Tree, 1850","http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000082/6335_683782.jpg","","","43.2 x 35.6 cm (17 x 14 in.)","","Oil on canvas","","American","","Jasper Francis Cropsey","Gift of Jamee J. and Marshall Field"
"","http://www.artic.edu/aic/collections/artwork/24306?search_no=79&index=124","Blue and Green Music, 1919/21","http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000098/137305_822868.jpg","","","58.4 x 48.3 cm (23 x 18 in.)","","Oil on canvas","","American","","Georgia O'Keeffe","Alfred Stieglitz Collection gift of Georgia O'Keeffe"
"","http://www.artic.edu/aic/collections/artwork/121377?search_no=79&index=125","Boats at Rest, c. 1895","http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000114/5697_1139164.jpg","","","66 x 91.4 cm (26 x 36 in.)","","Oil on canvas","","American","","Arthur Wesley Dow","Signed lower left: ""Arthur W. Dow""

Through prior acquisition of the Charles H. and Mary F.S. Worcester Collection"
"","http://www.artic.edu/aic/collections/artwork/121398?search_no=4&index=130","Bottle Vase, 1915","http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000104/431_886133.jpg","","","23.2 x 10.1 cm (9 1/8 x 4 in.)","","Glazed earthenware","","American","","Charles Fergus Binns","Monogram and date on base: ""C F B / 15"" within a circle

Atlan Ceramic Club Fund"
"","http://www.artic.edu/aic/collections/artwork/16545?search_no=1&index=154","Brooklyn Bridge, 1899","http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000128/169443_1299323.jpg","","","72.4 x 91.8 cm (28 1/2 x 36 1/8 in.)","","Oil on canvas","","American","","Henry Ward Ranger","Signed lower left: ""Henry Ranger 99""

Gift of Charles L. Hutchinson"
"","http://www.artic.edu/aic/collections/artwork/103347?search_no=1&index=159","Bureau Table, c. 1770","http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000106/9109_902140.jpg","","","86.6 x 93.4 x 58 cm (34 1/8 x 36 3/4 x 20 in.)","","Mahogany with chestnut and tulip poplar","","American","","Attributed to John Townsend","Gift of Jamee J. and Marshall Field"
"","http://www.artic.edu/aic/collections/artwork/158977?search_no=5&index=146","Box Sofa, c. 1820","http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000005/7090_358815.jpg","","","85.7 x 208.3 x 69.2 cm (33 3/4 x 82 x 27 1/4 in.)","","Rosewood and gilded wood with ormolu mounts die-stamped brass inlay inset with rosewood brass stringing and gilt-brass castors","","American","","Attributed to Duncan Phyfe","Restricted gifts of The Antiquarian Society and Mrs. Herbert A. Vance"
"","http://www.artic.edu/aic/collections/artwork/65861?search_no=6&index=160","Business, 1921","http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000098/137297_822766.jpg","","","51 x 61.5 cm (20 x 24 1/4 in.)","","Oil and graphite on canvas","","American","","Charles Demuth","Signed and dated lower right: Demuth / 1921

Alfred Stieglitz Collection"
"","http://www.artic.edu/aic/collections/artwork/58405?search_no=6&index=167","Cabinet, 1875/77","http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000128/32091_1301758.jpg","","","140 x 124.8 x 48.3 cm (55 1/8 x 49 1/8 x 19 in.)","","Mahogany rosewood maple pine and bronze","","American","","George Croome","Elizabeth R. Vaughan Fund"
"","http://www.artic.edu/aic/collections/artwork/105105?search_no=6&index=168","Cabinet, 1878/80","http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000095/5376_773247.jpg","","","134.6 x 180.3 x 40.6 cm (53 x 71 x 16 in.)","","Rosewood with ebonized cherry maple walnut satinwood marquetry of various woods brass gilding and paint","","American","","Herter Brothers","Impressed twice on back boards: ""HERTER BRO'S""; written in script in pencil on top boards: "" N 238 Store""

Restricted gift of the Antiquarian Society through the Capital Campaign"
"","http://www.artic.edu/aic/collections/artwork/181452?search_no=7&index=173","Candelabra, 1902/05","http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000006/8564_360620.jpg","","","19 5/8 x 13 1/2 x 13 in.

base: 8 1/2 (w) x 8 (d)","","Bronze","","American","","Jessie M. Preston","in.
Marked on the bottom in script ""J Preston/ Chicago"" with a conjoined ""J"" and ""P""

Restricted gift of Celia and David C. Hilliard"
"","http://www.artic.edu/aic/collections/artwork/104048?search_no=7&index=176","Candelabra (one of a pair), 1873","http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000104/19131_882925.jpg","","","77.4 x 43.2 cm (30 1/2 x 17 in.)
Marked under base ""TIFFANY AND CO."" (in a convex rectangle)/""3180""/ ""Quality 925.1000"" (in rectangle)/ gothic ""M"" (in oval)/""5200""/ ""UNION SQUARE"" (in convex rectangle); Marked on underside of one foot: ""No.1""; Signed on proper left side of base on each candelabrum: ""EJ"" (conjoined)","","Silver","","American","","Tiffany and Company","and ""S""

Gift of the Antiquarian Society through the Mr. and Mrs. William Y. Hutchinson Fund"
"","http://www.artic.edu/aic/collections/artwork/93814?search_no=9&index=192","Captain Joseph Medill Patterson, 1962�64","http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000089/4544_728219.jpg","","","76.2 x 61 cm (30 x 24 in.)","","Oil on board","","American","","Ivan Albright","Gift of Ivan Albright"
"","http://www.artic.edu/aic/collections/artwork/120163?search_no=9&index=193","Capture of the Tripoli by the Enterprise, 1806/12","http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000073/5803_623641.jpg","","","45.1 x 65.1 cm (17 3/4 x 25 5/8 in.)","","Oil on canvas","","American","","Thomas Birch","Through prior acquisition of the Charles H. and Mary F. S. Worcester Collection"
"","http://www.artic.edu/aic/collections/artwork/75458?search_no=9&index=194","Card Table, 1800/11","http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000006/7645_360216.jpg","","","73.5 x 92.4 x 45.4 cm (29 x 36 5/16 x 17 7/8 in.)","","Mahogany mahogany veneer and white pine","","American","","Attributed to William Hook","Gift of the Antiquarian Society through Jessie Spalding Landon Fund"
"","http://www.artic.edu/aic/collections/artwork/214268?search_no=9&index=195","Card Table, 1819/25","http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000141/184347_1468913.jpg","","","73.7 x 45.7 x 92.7 cm (29 x 18 x 36 1/2 in.)","","Mahogany satinwood veneer iron and brass","","American","","Isaac Vose & Son","Restricted gift of Harry A. Root in memory of Curtis C. Palmer"
"","http://www.artic.edu/aic/collections/artwork/76814?search_no=10&index=209","Caudle Cup, 1680/1700","http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000051/41365_348239.jpg","","","8.3 x 16.5 cm (3 1/4 x 6 1/2 in.)","","Silver","","American","","Jeremiah Dummer","Gift of the Antiquarian Society through the Mr. and Mrs. Edwin A. Seipp Fund"
"","http://www.artic.edu/aic/collections/artwork/68388?search_no=10&index=208","Catskill Mountains, 1870","http://www.artic.edu/aic/collections/citi/images/standard/WebMedium/WebImg_000117/387_1170914.jpg","","","123.8 x 184.5 cm (48 3/4 x 72 5/8 in.)","","Oil on canvas","","American","","George Inness","Signed lower left: ""G. Inness 1870""

Edward B. Butler Collection"
