"Name","Club","Country","Tag","Birthdate","Position"
"Schmiedebach; Manuel","Hannover 96","Deutschland","8","05.12.1988","MF"
"Saint-Maximin; Allan","Hannover 96","Frankreich","14","12.03.1997","FW"
"Zieler; Ron-Robert","Hannover 96","Deutschland","1","12.02.1989","GK"
"Gülselam; Ceyhun","Hannover 96","Türkei","6","25.12.1987","MF"
"Klaus; Felix","Hannover 96","Deutschland","11","13.09.1992","MF"
"Albornoz; Miiko","Hannover 96","Chile","3","30.11.1990","DF"
"Bähre; Mike-Steven","Hannover 96","Deutschland","33","10.08.1995","MF"
"Kiyotake; Hiroshi","Hannover 96","Japan","10","12.11.1989","MF"
"Rankovic; Vladimir","Hannover 96","Deutschland","27","27.06.1993","DF"
"Schulz; Christian","Hannover 96","Deutschland","19","01.04.1983","DF"
"Andreasen; Leon","Hannover 96","Dänemark","2","23.04.1983","MF"
"Königsmann; Timo","Hannover 96","Deutschland","40","05.04.1997","GK"
"Sané; Salif","Hannover 96","Senegal","5","25.08.1990","MF"
"Anton; Waldemar","Hannover 96","Deutschland","31","20.07.1996","DF"
"Sorg; Oliver","Hannover 96","Deutschland","29","29.05.1990","DF"
"Radlinger; Samuel","Hannover 96","Österreich","30","07.11.1992","GK"
"Teichgräber; Niklas","Hannover 96","Deutschland","37","07.02.1996","DF"
"Erdinc; Mevlüt","Hannover 96","Türkei","39","25.02.1987","FW"
"Marcelo","Hannover 96","Brasilien","25","20.05.1987","DF"
"Felipe","Hannover 96","Brasilien","20","15.05.1987","DF"
"Hoffmann; Andre","Hannover 96","Deutschland","15","28.02.1993","DF"
"Karaman; Kenan","Hannover 96","Türkei","26","05.03.1994","FW"
"Dierßen; Tim","Hannover 96","Deutschland","34","15.01.1996","MF"
"Ernst; Sebastian","Hannover 96","Deutschland","36","04.03.1995","MF"
"Sakai; Hiroki","Hannover 96","Japan","4","12.04.1990","DF"
"Benschop; Charlison","Hannover 96","Niederlande","35","21.08.1989","FW"
"Bech; Uffe","Hannover 96","Dänemark","17","13.01.1993","MF"
"Tschauner; Philipp","Hannover 96","Deutschland","13","03.11.1985","GK"
"Sobiech; Artur","Hannover 96","Polen","9","12.06.1990","FW"
"Sulejmani; Valmir","Hannover 96","Albanien","38","01.02.1996","MF"
"Medojevic; Slobodan","Eintracht Frankfurt","Serbien","25","20.11.1990","MF"
"Kinsombi; David","Eintracht Frankfurt","Deutschland","31","12.12.1995","DF"
"Anderson","Eintracht Frankfurt","Brasilien","23","10.01.1988","DF"
"Hasebe; Makoto","Eintracht Frankfurt","Japan","20","18.01.1984","MF"
"Ignjovski; Aleksandar","Eintracht Frankfurt","Serbien","27","27.01.1991","DF"
"Reinartz; Stefan","Eintracht Frankfurt","Deutschland","7","01.01.1989","MF"
"Gacinovic; Mijat","Eintracht Frankfurt","Serbien","11","08.02.1995","MF"
"Djakpa; Constant","Eintracht Frankfurt","Elfenbeinküste","15","17.10.1986","DF"
"Kittel; Sonny","Eintracht Frankfurt","Deutschland","28","06.01.1993","MF"
"Seferovic; Haris","Eintracht Frankfurt","Schweiz","9","22.02.1992","FW"
"Gerezgiher; Joel","Eintracht Frankfurt","Deutschland","32","09.10.1995","MF"
"Lindner; Heinz","Eintracht Frankfurt","Österreich","13","17.07.1990","GK"
"Chandler; Timothy","Eintracht Frankfurt","USA","22","29.03.1990","DF"
"Castaignos; Luc","Eintracht Frankfurt","Niederlande","30","27.09.1992","FW"
"Flum; Johannes","Eintracht Frankfurt","Deutschland","18","14.12.1987","MF"
"Kadlec; Vaclav","Eintracht Frankfurt","Tschechien","10","20.05.1992","FW"
"Abraham; David","Eintracht Frankfurt","Argentinien","19","15.07.1986","DF"
"Russ; Marco","Eintracht Frankfurt","Deutschland","4","04.08.1985","DF"
"Meier; Alexander","Eintracht Frankfurt","Deutschland","14","17.01.1983","FW"
"Balayev; Emil","Eintracht Frankfurt","Aserbaidschan","29","17.04.1994","GK"
"Hradecky; Lukas","Eintracht Frankfurt","Finnland","1","24.11.1989","GK"
"Zambrano; Carlos","Eintracht Frankfurt","Peru","5","10.07.1989","DF"
"Waldschmidt; Luca","Eintracht Frankfurt","Deutschland","24","19.05.1996","FW"
"Stendera; Marc","Eintracht Frankfurt","Deutschland","21","10.12.1995","MF"
"Aigner; Stefan","Eintracht Frankfurt","Deutschland","16","20.08.1987","MF"
"Zummack; Yannick","Eintracht Frankfurt","Deutschland","33","26.03.1996","GK"
"Oczipka; Bastian","Eintracht Frankfurt","Deutschland","6","12.01.1989","DF"
"Ben-Hatira; Änis","Hertha BSC","Tunesien","10","18.07.1988","MF"
"van den Bergh; Johannes","Hertha BSC","Deutschland","23","21.11.1986","DF"
"Körber; Nils-Jonathan","Hertha BSC","Deutschland","29","13.11.1996","GK"
"Kohls; Florian","Hertha BSC","Deutschland","31","03.04.1995","MF"
"Jarstein; Rune","Hertha BSC","Norwegen","22","29.09.1984","GK"
"Cigerci; Tolga","Hertha BSC","Deutschland","17","23.03.1992","MF"
"Stark; Niklas","Hertha BSC","Deutschland","5","14.04.1995","DF"
"Gersbeck; Marius","Hertha BSC","Deutschland","35","20.06.1995","GK"
"Allagui; Sami","Hertha BSC","Tunesien","11","28.05.1986","FW"
"Kalou; Salomon","Hertha BSC","Elfenbeinküste","8","05.08.1985","FW"
"Hegeler; Jens","Hertha BSC","Deutschland","13","22.01.1988","MF"
"Plattenhardt; Marvin","Hertha BSC","Deutschland","21","26.01.1992","DF"
"Stocker; Valentin","Hertha BSC","Schweiz","14","12.04.1989","MF"
"Skjelbred; Per Ciljan","Hertha BSC","Norwegen","3","16.06.1987","MF"
"Baumjohann; Alexander","Hertha BSC","Deutschland","9","23.01.1987","MF"
"Haraguchi; Genki","Hertha BSC","Japan","24","09.05.1991","MF"
"Ronny","Hertha BSC","Brasilien","12","11.05.1986","MF"
"Brooks; John Anthony","Hertha BSC","USA","25","28.01.1993","DF"
"Weiser; Mitchell","Hertha BSC","Deutschland","20","21.04.1994","MF"
"Ibisevic; Vedad","Hertha BSC","Bosnien-Herzegowina","19","06.08.1984","FW"
"Lustenberger; Fabian","Hertha BSC","Schweiz","28","02.05.1988","MF"
"Pekarik; Peter","Hertha BSC","Slowakei","2","30.10.1986","DF"
"Langkamp; Sebastian","Hertha BSC","Deutschland","15","15.01.1988","DF"
"Darida; Vladimir","Hertha BSC","Tschechien","6","08.08.1990","MF"
"Beerens; Roy","Hertha BSC","Niederlande","27","22.12.1987","MF"
"Schieber; Julian","Hertha BSC","Deutschland","16","13.02.1989","FW"
"Kraft; Thomas","Hertha BSC","Deutschland","1","22.07.1988","GK"
"Mittelstädt; Maximilian","Hertha BSC","Deutschland","34","18.03.1997","DF"
"Baumann; Oliver","TSG Hoffenheim","Deutschland","1","02.06.1990","GK"
"Volland; Kevin","TSG Hoffenheim","Deutschland","31","30.07.1992","FW"
"Polanski; Eugen","TSG Hoffenheim","Polen","8","17.03.1986","MF"
"Kuranyi; Kevin","TSG Hoffenheim","Deutschland","22","02.03.1982","FW"
"Elyounoussi; Tarik","TSG Hoffenheim","Norwegen","14","23.02.1988","MF"
"Kim; Jin-Su","TSG Hoffenheim","Südkorea","20","13.06.1992","DF"
"Strobl; Tobias","TSG Hoffenheim","Deutschland","12","12.05.1990","DF"
"Szalai; Adam","TSG Hoffenheim","Ungarn","28","09.12.1987","FW"
"Schmid; Jonathan","TSG Hoffenheim","Frankreich","10","22.06.1990","MF"
"Rapp; Nicolai","TSG Hoffenheim","Deutschland","21","13.12.1996","DF"
"Joelinton","TSG Hoffenheim","Brasilien","40","14.08.1996","FW"
"Schär; Fabian","TSG Hoffenheim","Schweiz","5","20.12.1991","DF"
"Grahl; Jens","TSG Hoffenheim","Deutschland","13","22.09.1988","GK"
"Rudy; Sebastian","TSG Hoffenheim","Deutschland","6","28.02.1990","MF"
"Malbasic; Filip","TSG Hoffenheim","Serbien","xx","18.11.1992","MF"
"Zuber; Steven","TSG Hoffenheim","Schweiz","17","17.08.1991","MF"
"Kaderabek; Pavel","TSG Hoffenheim","Tschechien","3","25.04.1992","DF"
"Ochs; Philipp","TSG Hoffenheim","Deutschland","30","17.04.1997","FW"
"Süle; Niklas","TSG Hoffenheim","Deutschland","25","03.09.1995","DF"
"Schwegler; Pirmin","TSG Hoffenheim","Schweiz","16","09.03.1987","MF"
"Herdling; Kai","TSG Hoffenheim","Deutschland","38","27.06.1984","MF"
"Gimber; Benedikt","TSG Hoffenheim","Deutschland","32","19.02.1997","DF"
"Vargas; Eduardo","TSG Hoffenheim","Chile","9","20.11.1989","MF"
"Bicakcic; Ermin","TSG Hoffenheim","Bosnien-Herzegowina","4","24.01.1990","DF"
"Amiri; Nadiem","TSG Hoffenheim","Deutschland","18","27.10.1996","MF"
"Hamad; Jiloan","TSG Hoffenheim","Schweden","11","06.11.1990","MF"
"Uth; Mark","TSG Hoffenheim","Deutschland","19","24.08.1991","FW"
"Stolz; Alexander","TSG Hoffenheim","Deutschland","33","13.10.1983","GK"
"Toljan; Jeremy","TSG Hoffenheim","Deutschland","15","08.08.1994","DF"
"Groß; Pascal","FC Ingolstadt 04","Deutschland","10","15.06.1991","MF"
"Leckie; Mathew","FC Ingolstadt 04","Australien","7","04.02.1991","FW"
"Kachunga; Elias","FC Ingolstadt 04","Deutschland","25","22.04.1992","FW"
"Bregerie; Romain","FC Ingolstadt 04","Frankreich","18","09.08.1986","DF"
"Nyland; Örjan","FC Ingolstadt 04","Norwegen","26","10.09.1990","GK"
"Levels; Tobias","FC Ingolstadt 04","Deutschland","28","22.11.1986","DF"
"Hinterseer; Lukas","FC Ingolstadt 04","Österreich","16","28.03.1991","FW"
"Multhaup; Maurice","FC Ingolstadt 04","Deutschland","xx","15.12.1996","MF"
"Danilo","FC Ingolstadt 04","Brasilien","15","29.10.1991","DF"
"Engel; Konstantin","FC Ingolstadt 04","Kasachstan","20","27.07.1988","DF"
"Pledl; Thomas","FC Ingolstadt 04","Deutschland","30","23.05.1994","MF"
"Ortag; Christian","FC Ingolstadt 04","Deutschland","39","14.01.1995","GK"
"Bauer; Robert","FC Ingolstadt 04","Deutschland","23","09.04.1995","MF"
"Christiansen; Max","FC Ingolstadt 04","Deutschland","19","25.09.1996","MF"
"Morales; Alfredo","FC Ingolstadt 04","USA","6","12.05.1990","MF"
"Hübner; Benjamin","FC Ingolstadt 04","Deutschland","5","04.07.1989","DF"
"Suttner; Markus","FC Ingolstadt 04","Österreich","29","16.04.1987","DF"
"Roger","FC Ingolstadt 04","Brasilien","8","10.08.1985","MF"
"Cohen; Almog","FC Ingolstadt 04","Israel","36","01.09.1988","MF"
"Pekhart; Tomas","FC Ingolstadt 04","Tschechien","11","26.05.1989","FW"
"Özcan; Ramazan","FC Ingolstadt 04","Österreich","1","28.06.1984","GK"
"da Costa; Danny","FC Ingolstadt 04","Deutschland","21","13.07.1993","DF"
"Matip; Marvin","FC Ingolstadt 04","Kamerun","34","25.09.1985","DF"
"Lex; Stefan","FC Ingolstadt 04","Deutschland","14","27.11.1989","MF"
"Wannenwetsch; Stefan","FC Ingolstadt 04","Deutschland","22","19.01.1992","MF"
"Hartmann; Moritz","FC Ingolstadt 04","Deutschland","9","20.06.1986","FW"
"Gruezo; Carlos","VfB Stuttgart","Ecuador","11","19.04.1995","MF"
"Langerak; Mitchell","VfB Stuttgart","Australien","1","22.08.1988","GK"
"Heise; Philip","VfB Stuttgart","Deutschland","14","20.06.1991","DF"
"Werner; Timo","VfB Stuttgart","Deutschland","19","06.03.1996","FW"
"Tyton; Przemyslaw","VfB Stuttgart","Polen","22","04.01.1987","GK"
"Kostic; Filip","VfB Stuttgart","Serbien","18","01.11.1992","MF"
"Gentner; Christian","VfB Stuttgart","Deutschland","20","14.08.1985","MF"
"Ferati; Arianit","VfB Stuttgart","Deutschland","31","07.09.1997","MF"
"Serey Dié","VfB Stuttgart","Elfenbeinküste","26","07.11.1984","MF"
"Sunjic; Toni","VfB Stuttgart","Bosnien-Herzegowina","4","15.12.1988","DF"
"Didavi; Daniel","VfB Stuttgart","Deutschland","10","21.02.1990","MF"
"Baumgartl; Timo","VfB Stuttgart","Deutschland","5","04.03.1996","DF"
"Schwaab; Daniel","VfB Stuttgart","Deutschland","3","23.08.1988","DF"
"Hlousek; Adam","VfB Stuttgart","Tschechien","21","20.12.1988","DF"
"Insua; Emiliano","VfB Stuttgart","Argentinien","2","07.01.1989","DF"
"Niedermeier; Georg","VfB Stuttgart","Deutschland","6","26.02.1986","DF"
"Klein; Florian","VfB Stuttgart","Österreich","16","17.11.1986","DF"
"Wanitzek; Marvin","VfB Stuttgart","Deutschland","28","07.05.1993","MF"
"Kiesewetter; Jerome","VfB Stuttgart","USA","42","09.02.1993","FW"
"Ginczek; Daniel","VfB Stuttgart","Deutschland","33","13.04.1991","FW"
"Kruse; Robbie","VfB Stuttgart","Australien","9","05.10.1988","FW"
"Harnik; Martin","VfB Stuttgart","Österreich","7","10.06.1987","FW"
"Maxim; Alexandru","VfB Stuttgart","Rumänien","44","08.07.1990","MF"
"Ristl; Mart","VfB Stuttgart","Deutschland","27","07.07.1996","MF"
"Vlachodimos; Odisseas","VfB Stuttgart","Deutschland","17","26.04.1994","GK"
"Kliment; Jan","VfB Stuttgart","Tschechien","39","01.09.1993","FW"
"Rupp; Lukas","VfB Stuttgart","Deutschland","8","08.01.1991","MF"
"Kramer; Christoph","Bayer 04 Leverkusen","Deutschland","23","19.02.1991","MF"
"Ryu; Seung-Woo","Bayer 04 Leverkusen","Südkorea","24","17.12.1993","MF"
"Hernandez; Javier","Bayer 04 Leverkusen","Mexiko","7","01.06.1988","FW"
"Frey; Marlon","Bayer 04 Leverkusen","Deutschland","37","24.03.1996","MF"
"Jedvaj; Tin","Bayer 04 Leverkusen","Kroatien","16","28.11.1995","DF"
"Tah; Jonathan","Bayer 04 Leverkusen","Deutschland","4","11.02.1996","DF"
"Leno; Bernd","Bayer 04 Leverkusen","Deutschland","1","04.03.1992","GK"
"Hilbert; Roberto","Bayer 04 Leverkusen","Deutschland","13","16.10.1984","DF"
"Wendell","Bayer 04 Leverkusen","Brasilien","18","20.07.1993","DF"
"Kießling; Stefan","Bayer 04 Leverkusen","Deutschland","11","25.01.1984","FW"
"Calhanoglu; Hakan","Bayer 04 Leverkusen","Türkei","10","08.02.1994","MF"
"Toprak; Ömer","Bayer 04 Leverkusen","Türkei","21","21.07.1989","DF"
"Kresic; Dario","Bayer 04 Leverkusen","Kroatien","25","11.01.1984","GK"
"Boenisch; Sebastian","Bayer 04 Leverkusen","Polen","17","01.02.1987","DF"
"Yelldell; David","Bayer 04 Leverkusen","USA","22","01.10.1981","GK"
"Boeder; Lukas","Bayer 04 Leverkusen","Deutschland","33","18.04.1997","DF"
"Brandt; Julian","Bayer 04 Leverkusen","Deutschland","19","02.05.1996","FW"
"Donati; Giulio","Bayer 04 Leverkusen","Italien","26","05.02.1990","DF"
"Kampl; Kevin","Bayer 04 Leverkusen","Slowenien","44","09.10.1990","MF"
"Papadopoulos; Kyriakos","Bayer 04 Leverkusen","Griechenland","5","23.02.1992","DF"
"Aranguiz; Charles","Bayer 04 Leverkusen","Chile","20","17.04.1989","MF"
"Ramalho; André","Bayer 04 Leverkusen","Brasilien","2","16.02.1992","DF"
"Yurchenko; Vladlen","Bayer 04 Leverkusen","Ukraine","35","22.01.1994","MF"
"Mehmedi; Admir","Bayer 04 Leverkusen","Schweiz","14","16.03.1991","FW"
"Bellarabi; Karim","Bayer 04 Leverkusen","Deutschland","38","08.04.1990","FW"
"Bender; Lars","Bayer 04 Leverkusen","Deutschland","8","27.04.1989","MF"
"Sailer; Marco","SV Darmstadt 98","Deutschland","7","16.11.1985","FW"
"Finger; Jan","SV Darmstadt 98","Deutschland","36","02.01.1997","MF"
"Holland; Fabian","SV Darmstadt 98","Deutschland","32","11.07.1990","DF"
"Kazimi; Ali","SV Darmstadt 98","Deutschland","37","30.06.1997","MF"
"Ivana; Milan","SV Darmstadt 98","Slowakei","27","26.11.1983","MF"
"Heller; Marcel","SV Darmstadt 98","Deutschland","20","12.02.1986","MF"
"Jungwirth; Florian","SV Darmstadt 98","Deutschland","23","27.01.1989","MF"
"Caldirola; Luca","SV Darmstadt 98","Italien","33","01.02.1991","DF"
"Volk; Nick","SV Darmstadt 98","Deutschland","38","12.11.1997","MF"
"Gorka; Benjamin","SV Darmstadt 98","Deutschland","5","15.04.1984","DF"
"Sirigu; Sandro","SV Darmstadt 98","Deutschland","17","07.10.1988","DF"
"Rausch; Konstantin","SV Darmstadt 98","Deutschland","34","15.03.1990","MF"
"Wembacher; Noel","SV Darmstadt 98","Deutschland","39","15.03.1997","DF"
"Mathenia; Christian","SV Darmstadt 98","Deutschland","31","31.03.1992","GK"
"Junior Diaz","SV Darmstadt 98","Costa Rica","15","12.09.1983","DF"
"Wagner; Sandro","SV Darmstadt 98","Deutschland","14","29.11.1987","FW"
"Stroh-Engel; Dominik","SV Darmstadt 98","Deutschland","9","27.11.1985","FW"
"Vrancic; Mario","SV Darmstadt 98","Bosnien-Herzegowina","6","23.05.1989","MF"
"Niemeyer; Peter","SV Darmstadt 98","Deutschland","18","22.11.1983","MF"
"Stegmayer; Michael","SV Darmstadt 98","Deutschland","3","12.01.1985","DF"
"Garics; György","SV Darmstadt 98","Österreich","13","08.03.1984","DF"
"Sulu; Aytac","SV Darmstadt 98","Türkei","4","11.12.1985","DF"
"Rosenthal; Jan","SV Darmstadt 98","Deutschland","10","07.04.1986","MF"
"Gondorf; Jerome","SV Darmstadt 98","Deutschland","8","26.06.1988","MF"
"Kempe; Tobias","SV Darmstadt 98","Deutschland","11","27.06.1989","MF"
"Platins; Patrick","SV Darmstadt 98","Deutschland","1","19.04.1983","GK"
"Stark; Yannick","SV Darmstadt 98","Deutschland","25","28.10.1990","MF"
"Platte; Felix","FC Schalke 04","Deutschland","36","11.02.1996","FW"
"Nübel; Alexander","FC Schalke 04","Deutschland","35","30.09.1996","GK"
"Junior Caicara","FC Schalke 04","Brasilien","3","27.04.1989","DF"
"Boateng; Kevin-Prince","FC Schalke 04","Ghana","xx","06.03.1987","MF"
"Choupo-Moting; Eric Maxim","FC Schalke 04","Kamerun","13","23.03.1989","FW"
"Geis; Johannes","FC Schalke 04","Deutschland","5","17.08.1993","MF"
"Sam; Sidney","FC Schalke 04","Deutschland","18","31.01.1988","FW"
"Kolasinac; Sead","FC Schalke 04","Bosnien-Herzegowina","6","20.06.1993","DF"
"Meyer; Max","FC Schalke 04","Deutschland","7","18.09.1995","MF"
"Fährmann; Ralf","FC Schalke 04","Deutschland","1","27.09.1988","GK"
"Friedrich; Marvin","FC Schalke 04","Deutschland","2","13.12.1995","DF"
"Aogo; Dennis","FC Schalke 04","Deutschland","15","14.01.1987","DF"
"Kehrer; Thilo","FC Schalke 04","Deutschland","20","21.09.1996","DF"
"Giefer; Fabian","FC Schalke 04","Deutschland","34","17.05.1990","GK"
"Nastasic; Matija","FC Schalke 04","Serbien","31","28.03.1993","DF"
"Höwedes; Benedikt","FC Schalke 04","Deutschland","4","29.02.1988","DF"
"Ayhan; Kaan","FC Schalke 04","Türkei","24","10.11.1994","DF"
"Gspurning; Michael","FC Schalke 04","Österreich","30","02.05.1981","GK"
"Goretzka; Leon","FC Schalke 04","Deutschland","8","06.02.1995","MF"
"Höjbjerg; Pierre-Emile","FC Schalke 04","Dänemark","23","05.08.1995","MF"
"Sané; Leroy","FC Schalke 04","Deutschland","19","11.01.1996","FW"
"Neustädter; Roman","FC Schalke 04","Deutschland","33","18.02.1988","MF"
"Huntelaar; Klaas Jan","FC Schalke 04","Niederlande","25","12.08.1983","FW"
"Riether; Sascha","FC Schalke 04","Deutschland","27","23.03.1983","DF"
"di Santo; Franco","FC Schalke 04","Argentinien","9","07.04.1989","FW"
"Uchida; Atsuto","FC Schalke 04","Japan","22","27.03.1988","DF"
"Matip; Joel","FC Schalke 04","Kamerun","32","08.08.1991","DF"
"Felipe Santana","FC Schalke 04","Brasilien","28","17.03.1986","DF"
"Höger; Marco","FC Schalke 04","Deutschland","12","16.09.1989","MF"
