"player_num","position","player_name","club","age","height","weight","birthplace"
"Player---tag","Player---playPosition","Player---name","SportsClub---name","Player---age","Player---height","Player---weight","SportsTeam---name"
"11","F","David Accam","Chicago Fire","24","5' 9''","154","Ghana"
"23","D/M","Kellyn Acosta","FC Dallas","19","5' 10''","150","USA"
"NA","D","Adaílton","Chicago Fire","31","6' 3''","180","Brazil"
"3","D","Sam Adekugbe","Vancouver Whitecaps FC","19","5' 9''","165","England"
"9","F","Fanendo Adi","Portland Timbers","24","6' 4''","185","Nigeria"
"13","F","Tesho Akindele","FC Dallas","22","6' 1''","170","Canada"
"NA","M","Fatai Alashe","","21","6'","170","USA"
"12","M","Eric Alexander","New York Red Bulls","26","6' 1''","165","USA"
"7","D/M","Jordan Allen","Real Salt Lake","19","5' 11''","160","USA"
"6","M","Osvaldo Alonso","Seattle Sounders FC","29","5' 11''","165","Cuba"
"30","D","Kevin Alston","New England Revolution","26","5' 8''","160","USA"
"24","F","Quincy Amarikwa","Chicago Fire","27","5' 9''","180","USA"
"NA","D","Jalil Anibaba","Sporting Kansas City","26","6'","185","USA"
"NA","M","Bernardo Añor","Sporting Kansas City","26","5' 8''","158","Venezuela"
"34","M","Manny Aparicio","Toronto FC","19","5' 6''","149","Argentina"
"5","D","Armando","New York Red Bulls","30","6' 1''","175","Spain"
"8","M","Davy Arnaud","D.C. United","34","5' 11''","160","USA"
"NA","F","Jairo Arrieta","Orlando City SC","31","5' 9''","150","Costa Rica"
"26","M","Corey Ashe","Houston Dynamo","28","5' 5''","154","USA"
"NA","M/F","Dairon Asprilla","Portland Timbers","22","5' 11''","165","Colombia"
"24","GK","Jeff Attinella","Real Salt Lake","26","6' 2''","190","USA"
"42","M","Micheal Azira","Seattle Sounders FC","27","5' 10''","160","Uganda"
"NA","M","Mehdi Ballouchy","New York City FC","31","5' 11''","169","Morocco"
"26","D","Brandon Barklage","San Jose Earthquakes","28","5' 11''","165","USA"
"25","D","Darrius Barnes","New England Revolution","28","6' 1''","175","USA"
"23","M","Giles Barnes","Houston Dynamo","26","5' 11''","181","England"
"NA","M","Leandro Barrera","San Jose Earthquakes","23","5' 8''","171","Argentina"
"19","F","Chad Barrett","Seattle Sounders FC","29","5' 11''","185","USA"
"21","D","Chad Barson","Columbus Crew SC","23","5' 10''","170","USA"
"21","D/M","DaMarcus Beasley","Houston Dynamo","32","5' 8''","145","USA"
"5","M","Kyle Beckerman","Real Salt Lake","32","5' 11''","165","USA"
"29","F","Adam Bedell","Columbus Crew SC","23","6' 6''","204","USA"
"33","D/M","Steven Beitashour","Vancouver Whitecaps FC","27","5' 10''","170","USA"
"8","M","Kyle Bekker","Toronto FC","24","5' 9''","165","Canada"
"27","M","Louis Béland-Goyette","Montreal Impact","19","5' 8''","140","Canada"
"2","D","Tony Beltran","Real Salt Lake","27","5' 8''","150","USA"
"12","GK","Joe Bendik","Toronto FC","25","6' 2''","217","USA"
"5","D","Víctor Bernárdez","San Jose Earthquakes","32","6' 2''","190","Honduras"
"12","GK","John Berner","Colorado Rapids","23","6' 3''","205","USA"
"8","M","Patrice Bernier","Montreal Impact","35","5' 9''","170","Canada"
"4","D","Austin Berry","Philadelphia Union","26","6' 2''","188","USA"
"5","D","Matt Besler","Sporting Kansas City","27","6'","170","USA"
"NA","M","Nick Besler","","21","6' 1''","165","USA"
"16","F","Claudio Bieler","Sporting Kansas City","30","5' 11''","171","Argentina"
"15","D","Steve Birnbaum","D.C. United","23","6' 2''","180","USA"
"1","GK","Andre Blake","Philadelphia Union","24","6' 4''","175","Jamaica"
"28","D","Mark Bloom","Toronto FC","27","5' 11''","162","USA"
"NA","D","Nat Borchers","Portland Timbers","33","6' 2''","175","USA"
"32","D","Bobby Boswell","D.C. United","31","6' 2''","185","USA"
"21","M","Rubén Bover","New York Red Bulls","22","5' 7''","144","Spain"
"NA","F","Tristan Bowen","New England Revolution","23","5' 11''","170","USA"
"4","M","Michael Bradley","Toronto FC","27","6' 2''","179","USA"
"NA","D","Jeb Brovsky","New York City FC","26","6' 1''","170","USA"
"26","F","Deshorn Brown","Colorado Rapids","24","6' 2''","170","Jamaica"
"12","F","Will Bruin","Houston Dynamo","25","6' 2''","194","USA"
"10","F","Teal Bunbury","New England Revolution","24","6' 2''","175","Canada"
"4","D","Marc Burch","Colorado Rapids","30","6' 1''","180","USA"
"NA","D","Bobby Burling","Colorado Rapids","30","6' 5''","195","USA"
"30","G","Evan Bush","Montreal Impact","28","6' 1''","186","USA"
"23","M","Michael Bustamante","New York Red Bulls","25","5' 9''","160","Colombia"
"NA","D","Victor Cabrera","Montreal Impact","21","6'","165","Argentina"
"17","M","Tim Cahill","New York Red Bulls","35","5' 10''","150","Australia"
"6","M","Scott Caldwell","New England Revolution","23","5' 8''","150","USA"
"13","D","Steven Caldwell","Toronto FC","34","6' 2''","195","Scotland"
"NA","F","Caleb Calvert","Colorado Rapids","18","6' 2''","160","USA"
"6","D","Hassoun Camara","Montreal Impact","28","6' 2''","190","France"
"44","GK","Marco Carducci","Vancouver Whitecaps FC","18","6' 1''","185","Canada"
"7","M","Brian Carroll","Philadelphia Union","33","5' 10''","155","USA"
"NA","M","Tony Cascio","Orlando City SC","24","6'","170","USA"
"24","GK","Santiago Castaño","New York Red Bulls","19","6' 2''","184","USA"
"11","F","Fabián Castillo","FC Dallas","22","5' 8''","150","Colombia"
"7","M","Cordell Cato","San Jose Earthquakes","22","5' 9''","150","Trinidad and Tobago"
"17","M","Darwin Cerén","Orlando City SC","25","5' 7''","165","El Salvador"
"21","M","Diego Chara","Portland Timbers","28","5' 8''","150","Colombia"
"6","M","Ian Christianson","New York Red Bulls","23","5' 11''","155","United States"
"13","M","Ricardo Clark","Houston Dynamo","31","5' 10''","160","USA"
"1","GK","Steve Clark","Columbus Crew SC","28","6' 2''","192","USA"
"34","F","Caleb Clarke","Vancouver Whitecaps FC","21","6' 1''","165","Canada"
"20","M","Jorge Claros","Sporting Kansas City","29","5' 9''","155","Honduras"
"16","D","A.J. Cochran","Houston Dynamo","21","6' 3''","195","USA"
"16","D","Greg Cochrane","Chicago Fire","24","5' 8''","140","USA"
"30","M","Razvan Cocis","Chicago Fire","31","5' 11''","161","Romania"
"NA","D","Aurélien Collin","Orlando City SC","28","6' 2''","169","France"
"NA","D","Gustavo Silva Conceicao","Orlando City SC","28","6' 1''","198","Brazil"
"33","F","Kenny Cooper","Seattle Sounders FC","30","6' 3''","210","USA"
"NA","F","Coy Craft","FC Dallas","17","6' 2''","175","USA"
"3","D","Warren Creavalle","Toronto FC","24","5' 11''","170","USA"
"40","GK","Maxime Crépeau","Montreal Impact","20","5' 11''","199","Canada"
"4","M","Sam Cronin","San Jose Earthquakes","28","5' 10''","165","USA"
"44","D/M","Danny Cruz","Philadelphia Union","25","5' 8''","170","USA"
"9","F","Charlie Davies","New England Revolution","28","5' 10''","175","USA"
"11","M","Brad Davis","Houston Dynamo","33","5' 11''","170","USA"
"NA","M","Sean Davis","New York Red Bulls","21","6'","165","Active"
"22","D","Christian Dean","Vancouver Whitecaps FC","21","6' 3''","198","USA"
"18","F","Jermain Defoe","Toronto FC","32","5' 7''","143","England"
"20","D","A.J. DeLaGarza","LA Galaxy","27","5' 9''","150","USA"
"14","M","Nick DeLeon","D.C. United","24","5' 10''","170","USA"
"NA","M","Marco Delgado","Toronto FC","19","5' 9''","146","USA"
"12","M","Edder Delgado","Honduras","28","5' 9''","NA","Honduras"
"2","F","Clint Dempsey","Seattle Sounders FC","31","6' 1''","170","USA"
"24","GK","Tyler Deric","Houston Dynamo","26","6' 3''","185","USA"
"10","M","Mauro Díaz","FC Dallas","23","5' 7''","137","Argentina"
"7","F","Bright Dike","Toronto FC","27","6'","213","United States"
"10","M","Yannick Djalo","San Jose Earthquakes","28","5' 6''","140","Guinea-Bissau"
"NA","F","Guilherme do Prado","Chicago Fire","33","6' 3''","180","Brazil"
"33","M","Marco Donadel","Montreal Impact","31","5' 10''","160","Italy"
"NA","D","Patrick Doody","Chicago Fire","22","6'","180","United States"
"12","M","Andy Dorman","New England Revolution","32","6' 1''","160","England"
"30","F","Conor Doyle","D.C. United","23","6' 2''","172","USA"
"NA","M","Andrew Driver","D.C. United","27","5' 9''","152","England"
"11","M","Dilly Duka","Montreal Impact","25","5' 9''","160","USA"
"2","D","Todd Dunivant","LA Galaxy","34","6' 1''","175","USA"
"NA","M","Matt Dunn","New York City FC","20","5' 10''","163","USA"
"25","D","Chris Duvall","New York Red Bulls","23","5' 10''","150","USA"
"14","F","Dom Dwyer","Sporting Kansas City","24","5' 9''","180","England"
"50","GK","Andrew Dykstra","D.C. United","29","6' 4''","195","USA"
"NA","D","Otis Earle","","22","6'","170","England"
"21","M","Maurice Edu","Philadelphia Union","28","6'","170","USA"
"4","D","Kevin Ellis","Sporting Kansas City","23","5' 9''","160","USA"
"19","F","Charles Eloundou","Colorado Rapids","20","5' 7''","155","Cameroon"
"9","F","Fabián Espíndola","D.C. United","29","5' 9''","160","Argentina"
"27","M","Roger Espinoza","Sporting Kansas City","28","5' 11''","170","Honduras"
"3","M/F","David Estrada","D.C. United","26","5' 8''","160","Mexico"
"NA","M","Estrela","Orlando City SC","19","5' 7''","150","Angola"
"3","M","Brad Evans","Seattle Sounders FC","29","6' 1''","160","USA"
"33","D","Fábinho","Philadelphia Union","29","5' 7''","149","Brazil"
"14","F","Diego Fagundez","New England Revolution","19","5' 8''","140","Uruguay"
"2","D","Andrew Farrell","New England Revolution","22","5' 11''","165","USA"
"10","M","Benny Feilhaber","Sporting Kansas City","29","5' 9''","160","Brazil"
"22","M","Leo Fernandes","Philadelphia Union","23","6' 1''","165","Active"
"1","GK","Lalo Fernandez","Real Salt Lake","22","6' 3''","170","Mexico"
"10","F","Gastón Fernández","Portland Timbers","31","5' 8''","160","Argentina"
"NA","M","Collin Fernandez","Chicago Fire","17","5' 8''","140","Active"
"NA","F","Robbie Findley","Toronto FC","29","5' 9''","165","USA"
"13","M","Ethan Finlay","Columbus Crew SC","24","5' 9''","165","USA"
"NA","GK","Akira Fitzgerald","New York City FC","27","5' 9''","174","Japan"
"26","M","George Fochive","Portland Timbers","22","5' 9''","172","USA"
"NA","GK","Josh Ford","Orlando City SC","27","6'","175","USA"
"20","D","Shaun Francis","San Jose Earthquakes","28","6'","165","Jamaica"
"14","D","Waylon Francis","Columbus Crew SC","24","5' 9''","160","Costa Rica"
"5","D","Sean Franklin","D.C. United","29","5' 10''","160","USA"
"24","G","Stefan Frei","Seattle Sounders FC","28","6' 3''","195","Switzerland"
"38","M","Kianz Froese","Vancouver Whitecaps FC","18","5' 9''","170","Cuba"
"28","D","Raymon Gaddis","Philadelphia Union","24","5' 9''","151","USA"
"50","M","Jérémy Gagnon-Laparé","Montreal Impact","19","5' 11''","165","Canada"
"25","M","Romain Gall","Columbus Crew SC","19","5' 9''","140","France"
"27","M","Boniek Garcia","Houston Dynamo","30","5' 9''","150","Honduras"
"13","F","Olmes García","Real Salt Lake","22","6'","175","Colombia"
"26","M","Danny Garcia","FC Dallas","21","5' 5''","140","USA"
"33","D","Dan Gargan","LA Galaxy","32","5' 11''","175","USA"
"19","M","Luis Garrido","Houston Dynamo","24","5' 7''","165","Honduras"
"6","D","Eric Gehrig","Chicago Fire","27","6' 1''","160","USA"
"23","M","Kevan George","Columbus Crew SC","24","6' 2''","170","Trinidad and Tobago"
"21","M","Luis Gil","Real Salt Lake","21","5' 10''","155","USA"
"9","F","Gilberto","Toronto FC","25","5' 10''","160","Brazil"
"14","D","Justen Glad","Real Salt Lake","17","6'","145","USA"
"11","M","Jackson Gonçalves","Toronto FC","26","5' 9''","155","Brazil"
"23","D","José Gonçalves","New England Revolution","29","6' 2''","180","Portugal"
"12","D","Leo González","Seattle Sounders FC","34","6' 1''","174","Costa Rica"
"4","D","Omar Gonzalez","LA Galaxy","26","6' 5''","205","USA"
"44","GK","Jesse Gonzalez","FC Dallas","19","6' 4''","180","USA"
"44","D","Clarence Goodson","San Jose Earthquakes","32","6' 4''","180","USA"
"9","F","Alan Gordon","LA Galaxy","33","6' 3''","190","USA"
"NA","M","Ned Grabavoy","New York City FC","31","5' 7''","160","USA"
"NA","G","Andy Gruenebaum","San Jose Earthquakes","32","6' 1''","175","USA"
"17","D","Nick Hagglund","Toronto FC","22","6' 1''","193","USA"
"94","M","Marlon Hairston","Colorado Rapids","2015","6'","157","USA"
"NA","M","Jeremy Hall","New England Revolution","26","5' 10''","177","USA"
"NA","GK","Tally Hall","Orlando City SC","29","6' 4''","215","USA"
"NA","M/D","Markus Halsti","D.C. United","30","6' 1''","185","Finland"
"28","GK","Bill Hamid","D.C. United","24","6' 3''","225","USA"
"22","F","Jordan Hamilton","Toronto FC","18","6'","194","Canada"
"2","D","Ty Harden","San Jose Earthquakes","30","6' 1''","190","USA"
"NA","D","Michael Harrington","Colorado Rapids","28","6'","170","USA"
"NA","M/F","Atiba Harris","FC Dallas","30","6' 3''","185","Saint Kitts and Nevis"
"2","D","Jordan Harvey","Vancouver Whitecaps FC","30","5' 11''","170","USA"
"12","M","Harrison Heath","Orlando City SC","18","5' 11''","160","England"
"24","D","Matt Hedges","FC Dallas","24","6' 4''","185","USA"
"NA","D","Jason Hernandez","New York City FC","31","5' 10''","170","USA"
"3","D","Moises Hernandez","FC Dallas","22","6'","155","USA"
"10","F","Federico Higuain","Columbus Crew SC","30","5' 8''","165","Argentina"
"NA","F","Chandler Hoffman","Houston Dynamo","24","6'","160","USA"
"12","M","Ryan Hollingshead","FC Dallas","23","6' 1''","180","USA"
"29","F","Antoine Hoppenot","Philadelphia Union","24","5' 8''","155","USA"
"18","D","David Horst","Houston Dynamo","29","6' 4''","210","USA"
"19","F/M","Erik Hurtado","Vancouver Whitecaps FC","24","5' 10''","180","USA"
"6","M","Baggio Husidic","LA Galaxy","27","6' 1''","172","Bosnia and Herzegovina"
"NA","F","Kennedy Igboananike","Chicago Fire","25","5' 9''","154","Nigeria"
"NA","D","Samuel Inkoom","Houston Dynamo","25","5' 10''","NA","Ghana"
"1","GK","Clint Irwin","Colorado Rapids","25","6' 3''","195","USA"
"24","M","Stefan Ishizaki","LA Galaxy","32","5' 11''","165","Sweden"
"24","F","Anthony Jackson-Hamel","Montreal Impact","21","6' 1''","180","USA"
"NA","M","Andrew Jacobson","New York City FC","29","6' 2''","185","USA"
"14","F","Adam Jahn","San Jose Earthquakes","24","6' 3''","185","USA"
"23","F","Sebastian Jaime","Real Salt Lake","27","5' 11''","160","Argentina"
"38","F","Bradford Jamieson","LA Galaxy","18","6' 1''","165","USA"
"25","M","Jared Jeffrey","D.C. United","24","5' 11''","165","USA"
"13","M","Jack Jewsbury","Portland Timbers","33","6'","185","USA"
"12","M","Hector Jimenez","Columbus Crew SC","26","5' 9''","140","USA"
"NA","D","George John","New York City FC","27","6' 3''","203","USA"
"7","F","Eddie Johnson","D.C. United","30","6'","180","USA"
"4","M","Will Johnson","Portland Timbers","27","5' 10''","160","Canada"
"25","GK","Sean Johnson","Chicago Fire","25","6' 3''","217","USA"
"14","F","Jason Johnson","Houston Dynamo","24","6'","180","Jamaica"
"13","M","Jermaine Jones","New England Revolution","33","6'","170","Germany"
"NA","D/M","Joevin Jones","Chicago Fire","23","5' 8''","160","Trinidad"
"NA","F","Darwin Jones","Seattle Sounders FC","22","5' 10''","175","Active"
"6","M","José Mari","Colorado Rapids","27","5' 11''","150","Spain"
"40","D","Igor Julião","Sporting Kansas City","20","5' 8''","145","Brazil"
"19","M","Juninho","LA Galaxy","26","5' 7''","140","Brazil"
"10","M","Kaká","Orlando City SC","32","6' 1''","181","Brazil"
"NA","F","Kei Kamara","Columbus Crew SC","30","6' 3''","186","Sierra Leone"
"1","GK","Alec Kann","Chicago Fire","24","6' 4''","190","USA"
"7","F","Robbie Keane","LA Galaxy","34","5' 9''","160","Ireland"
"22","D","Stephen Keel","FC Dallas","31","6'","185","USA"
"33","D","Taylor Kemp","D.C. United","24","5' 11''","153","USA"
"21","GK","Jon Kempin","Sporting Kansas City","21","6' 1''","170","USA"
"NA","GK","Dan Kennedy","FC Dallas","32","6' 1''","200","USA"
"23","M/D","Perry Kitchen","D.C. United","22","6'","160","USA"
"15","D","Chris Klute","Colorado Rapids","24","6' 1''","172","USA"
"18","D","Zat Knight","Colorado Rapids","34","6' 6''","225","England"
"18","G","Brad Knighton","New England Revolution","29","6' 1''","180","USA"
"16","M","Daigo Kobayashi","New England Revolution","31","5' 10''","150","Japan"
"28","M","Gershon Koffie","Vancouver Whitecaps FC","23","6'","175","Ghana"
"1","GK","Chris Konopka","Toronto FC","29","6' 5''","228","USA"
"22","D","Chris Korb","D.C. United","27","5' 9''","160","USA"
"15","M","JJ Koval","San Jose Earthquakes","22","6' 1''","175","USA"
"11","M","Aaron Kovar","Seattle Sounders FC","21","5' 10''","155","USA"
"23","D","Krzysztof Krol","Montreal Impact","27","6' 1''","161","Poland"
"NA","GK","Eric Kronberg","Montreal Impact","31","6' 5''","210","USA"
"NA","GK","Adam Kwarasey","Portland Timbers","27","6' 3''","180","Norway"
"15","M","Matías Laba","Vancouver Whitecaps FC","23","5' 9''","154","Argentina"
"16","D","Connor Lade","New York Red Bulls","25","5' 7''","145","USA"
"13","M","Michael Lahoud","Philadelphia Union","28","5' 8''","162","Sierra Leone"
"28","GK","Matt Lampson","Columbus Crew SC","25","6' 3''","190","USA"
"20","M","Jeff Larentowicz","Chicago Fire","31","6' 1''","175","USA"
"NA","F","Cyle Larin","","19","6' 2''","190","Active"
"11","F","Sébastien Le Toux","Philadelphia Union","31","6'","155","France"
"55","D","Wandrille Lefèvre","Montreal Impact","25","6' 1''","175","France"
"24","F","Steven Lenhart","San Jose Earthquakes","28","6' 1''","190","USA"
"22","D","Leonardo","LA Galaxy","26","6' 2''","185","Brazil"
"25","M","Andre Lewis","Vancouver Whitecaps FC","20","5' 9''","145","Jamaica"
"30","GK","Michael Lisch","Houston Dynamo","24","6' 4''","175","Active"
"25","M","Aaron Long","Seattle Sounders FC","22","6' 1''","173","USA"
"12","M","Mikey Lopez","Sporting Kansas City","21","5' 8''","160","USA"
"26","D","Adrián López","Montreal Impact","27","6'","192","Spain"
"10","M","Alexander López","Houston Dynamo","22","5' 9''","155","Honduras"
"35","M","Daniel Lovitz","Toronto FC","23","5' 10''","170","USA"
"31","D","Damion Lowe","Seattle Sounders FC","21","6' 3''","175","Jamaica"
"17","D","Zach Loyd","FC Dallas","27","5' 10''","168","USA"
"8","F","Péguy Luyindula","New York Red Bulls","35","5' 10''","158","Democratic Republic of the Congo"
"NA","GK","Zac MacMath","Colorado Rapids","23","6'","176","USA"
"9","F","Mike Magee","Chicago Fire","30","5' 10''","160","USA"
"10","M","Cristian Maidana","Philadelphia Union","27","5' 11''","165","Argentina"
"16","D","Calum Mallace","Montreal Impact","25","6' 1''","181","Scotland"
"23","F","Kekuta Manneh","Vancouver Whitecaps FC","20","5' 9''","140","Gambia"
"20","M","Chris Mannella","Toronto FC","20","5' 9''","173","Canada"
"29","D","Abdoulie Mansally","Real Salt Lake","25","5' 10''","160","Gambia"
"21","M","Justin Mapp","Montreal Impact","30","6' 1''","160","USA"
"NA","M","James Marcelin","Sporting Kansas City","28","6' 2''","175","Haiti"
"NA","GK","Luis Marin","Sporting Kansas City","31","6' 2''","196","Chile"
"16","D","Richie Marquez","Philadelphia Union","2015","6' 2''","185","USA"
"14","D","Chad Marshall","Seattle Sounders FC","30","6' 4''","190","USA"
"NA","D","Ramon Martin del Campo","","21","6' 2''","195","Mexico"
"7","M","Felipe Martins","Montreal Impact","24","5' 9''","150","Brazil"
"9","F","Obafemi Martins","Seattle Sounders FC","30","5' 7''","154","Nigeria"
"11","F","Darren Mattocks","Vancouver Whitecaps FC","24","5' 10''","155","Jamaica"
"92","GK","Raïs Mbolhi","Philadelphia Union","28","6' 3''","176","France"
"11","M","Dax McCarty","New York Red Bulls","27","5' 9''","150","USA"
"99","F","Jack McInerney","Montreal Impact","22","5' 10''","151","USA"
"NA","M","Thomas McNamara","New York City FC","23","5' 9''","170","USA"
"NA","GK","Ryan Meara","New York City FC","24","6' 4''","185","USA"
"4","D","Tyrone Mears","Seattle Sounders FC","31","5' 11''","163","England"
"94","M","Jimmy Medranda","Sporting Kansas City","20","5' 5''","150","Colombia"
"NA","GK","Tim Melia","Sporting Kansas City","28","6' 1''","190","USA"
"NA","D","Andrés Mendoza","New York City FC","25","6' 2''","194","Ecuador"
"9","F","Justin Meram","Columbus Crew SC","26","6' 1''","165","USA"
"13","GK","Bryan Meredith","San Jose Earthquakes","25","6' 2''","195","USA"
"NA","M","Dan Metzger","","21","5' 10''","163","Active"
"21","D","Tommy Meyer","LA Galaxy","24","6' 2''","175","USA"
"29","F/M","Nicolás Mezquida","Vancouver Whitecaps FC","22","5' 6''","150","Uruguay"
"20","D","Matt Miazga","New York Red Bulls","19","6' 3''","185","USA"
"31","M/D","Michel","FC Dallas","33","6' 1''","165","Brazil"
"7","D","Roy Miller","New York Red Bulls","30","6' 2''","166","Costa Rica"
"3","D","Eric Miller","Montreal Impact","21","6' 1''","175","USA"
"NA","M","Leonel Miranda","Houston Dynamo","21","5' 8''","NA","Argentina"
"18","M","Kevin Molino","Orlando City SC","24","5' 11''","145","Trinidad & Tobago"
"3","D","Drew Moor","Colorado Rapids","30","6'","165","USA"
"27","F","Luke Moore","Toronto FC","28","5' 9''","167","England"
"11","M","Javier Morales","Real Salt Lake","35","5' 9''","150","Argentina"
"77","M","Pedro Morales","Vancouver Whitecaps FC","29","5' 11''","170","Chile"
"5","D","Ashtone Morgan","Toronto FC","23","5' 9''","156","Canada"
"2","D","Justin Morrow","Toronto FC","27","5' 9''","153","USA"
"19","M","Luke Mulholland","Real Salt Lake","26","5' 9''","150","England"
"NA","F","Patrick Mullins","New York City FC","22","6' 1''","175","USA"
"7","D","Chance Myers","Sporting Kansas City","27","6'","165","USA"
"6","M","Paulo Nagamura","Sporting Kansas City","31","5' 8''","155","Brazil"
"6","F/M","Darlington Nagbe","Portland Timbers","24","5' 9''","165","Liberia"
"17","M","Issey Nakajima-Farran","Montreal Impact","30","5' 10''","160","Canada"
"NA","GK","Joe Nasco","New England Revolution","30","6' 3''","205","USA"
"27","M/F","Lamar Neagle","Seattle Sounders FC","27","5' 11''","165","USA"
"NA","M","Lewis Neal","Orlando City SC","33","5' 11''","155","England"
"16","D","John Neeskens","Colorado Rapids","21","6' 1''","160","USA"
"NA","F","Krisztian Nemeth","Sporting Kansas City","26","5' 11''","165","Hungary"
"4","M","Steve Neumann","New England Revolution","23","6'","165","USA"
"24","M/F","Lee Nguyen","New England Revolution","28","5' 8''","150","USA"
"5","M","Vincent Nogueira","Philadelphia Union","26","5' 7''","140","France"
"14","F","Patrick Nyarko","Chicago Fire","28","6'","160","Ghana"
"NA","M","Sanna Nyassi","San Jose Earthquakes","25","5' 8''","145","Gambia"
"40","D","Andy O'Brien","Vancouver Whitecaps FC","35","6' 3''","205","England"
"27","D","Shane O'Neill","Colorado Rapids","21","6' 2''","190","Ireland"
"NA","D","Jimmy Ockford","Seattle Sounders FC","22","6' 1''","185","USA"
"23","F","Dominic Oduro","Toronto FC","29","6'","160","Ghana"
"NA","M","Amobi Okugo","Orlando City SC","23","6'","175","USA"
"NA","D","Boyd Okwuonu","","21","5' 9''","170","USA"
"4","D","Jámison Olave","Real Salt Lake","33","6' 3''","210","Colombia"
"3","D","Ike Opara","Sporting Kansas City","25","6' 2''","180","USA"
"6","D","Kofi Opare","D.C. United","24","6' 2''","190","Canada"
"21","M","Jonathan Osorio","Toronto FC","22","5' 9''","161","Canada"
"34","D","Karl Ouimette","Montreal Impact","22","6'","175","Canada"
"1","GK","David Ousted","Vancouver Whitecaps FC","29","6' 4''","195","Denmark"
"3","D","Ambroise Oyongo","New York Red Bulls","23","5' 9''","150","Cameroon"
"5","D/M","Lovel Palmer","Chicago Fire","30","5' 10''","160","Jamaica"
"2","D","Erik Palmer-Brown","Sporting Kansas City","17","6' 1''","175","USA"
"23","D","Norberto Paparatto","Portland Timbers","31","6' 3''","180","Argentina"
"10","M","Marco Pappa","Seattle Sounders FC","27","5' 10''","155","Guatemala"
"NA","D","Jeff Parke","","32","6' 1''","185","USA"
"4","D","Michael Parkhurst","Columbus Crew SC","30","5' 11''","159","USA"
"77","F","Kévin Parsemain","Seattle Sounders FC","26","5' 10''","165","Martinique"
"NA","D","Heath Pearce","Orlando City SC","30","5' 10''","175","USA"
