"Age","Number","Position","Player","Country"
"Player---age","Player---tag","Player---playPosition","Player---name","SportsTeam---name"
"18","19","Forward","Fabrice OLINGA","Cameroon"
"18","23","Defender","Luke SHAW","England"
"19","14","Midfielder","Nabil BENTALEB","Algeria"
"19","17","Forward","Divock ORIGI","Belgium"
"19","20","Midfielder","Adnan JANUZAJ","Belgium"
"19","23","Midfielder","Carlos GRUEZO","Ecuador"
"19","19","Midfielder","Raheem STERLING","England"
"19","13","Defender","Jose GIMENEZ","Uruguay"
"19","16","Midfielder","Julian GREEN","USA"
"20","5","Defender","Sead KOLASINAC","Bosnia & Herzegovina"
"20","16","Forward","Ante REBIC","Croatia"
"20","20","Midfielder","Mateo KOVACIC","Croatia"
"20","15","Midfielder","Alex OXLADE CHAMBERLAIN","England"
"20","21","Midfielder","Ross BARKLEY","England"
"20","17","Defender","Lucas DIGNE","France"
"20","14","Midfielder","Julian DRAXLER","Germany"
"20","3","Defender","Matthias GINTER","Germany"
"20","13","Goalkeeper","Stefanos KAPINO","Greece"
"20","1","Goalkeeper","Luis LOPEZ","Honduras"
"20","9","Forward","Alireza JAHAN BAKHSH","Iran"
"20","14","Defender","Terence KONGOLO","Netherlands"
"20","21","Forward","Memphis DEPAY","Netherlands"
"20","22","Defender","Kenneth OMERUO","Nigeria"
"20","2","Defender","DeAndre YEDLIN","USA"
"21","9","Forward","Adam TAGGART","Australia"
"21","21","Midfielder","Massimo LUONGO","Australia"
"21","8","Defender","Bailey WRIGHT","Australia"
"21","9","Forward","Romelu LUKAKU","Belgium"
"21","7","Midfielder","Muhamed BESIC","Bosnia & Herzegovina"
"21","20","Forward","BERNARD","Brazil"
"21","4","Defender","Cedric DJEUGOUE","Cameroon"
"21","20","Midfielder","Edgar SALLI","Cameroon"
"21","16","Defender","Eder BALANTA","Colombia"
"21","20","Midfielder","Juan QUINTERO","Colombia"
"21","9","Forward","Joel CAMPBELL","Costa Rica"
"21","12","Goalkeeper","Oliver ZELENIKA","Croatia"
"21","15","Midfielder","Ivan MOCINIC","Croatia"
"21","14","Midfielder","Marcelo BROZOVIC","Croatia"
"21","19","Midfielder","Paul POGBA","France"
"21","4","Defender","Raphael VARANE","France"
"21","15","Defender","Rashid SUMAILA","Ghana"
"21","17","Midfielder","Andy NAJAR","Honduras"
"21","23","Midfielder","Marco VERRATTI","Italy"
"21","2","Defender","Mattia DE SCIGLIO","Italy"
"21","13","Goalkeeper","Mattia PERIN","Italy"
"21","23","Goalkeeper","Sayouba MANDE","Ivory Coast"
"21","14","Midfielder","Ismael DIOMANDE","Ivory Coast"
"21","7","Defender","Jean Daniel AKPA","Ivory Coast"
"21","17","Defender","Serge AURIER","Ivory Coast"
"21","5","Defender","Diego REYES","Mexico"
"21","7","Forward","Ahmed MUSA","Nigeria"
"21","17","Midfielder","Ogenyi ONAZI","Nigeria"
"21","15","Midfielder","Ramon AZEEZ","Nigeria"
"21","18","Forward","Michael BABATUNDE","Nigeria"
"21","15","Forward","RAFA","Portugal"
"21","9","Midfielder","SON Heungmin","South Korea"
"21","19","Forward","Josip DRMIC","Switzerland"
"21","10","Midfielder","Granit XHAKA","Switzerland"
"21","13","Defender","Ricardo RODRIGUEZ","Switzerland"
"21","6","Defender","John BROOKS","USA"
"22","19","Midfielder","Saphir TAIDER","Algeria"
"22","20","Defender","Aissa MANDI","Algeria"
"22","11","Midfielder","Tommy OAR","Australia"
"22","1","Goalkeeper","Maty RYAN","Australia"
"22","10","Forward","Ben HALLORAN","Australia"
"22","3","Defender","Jason DAVIDSON","Australia"
"22","7","Midfielder","Kevin DE BRUYNE","Belgium"
"22","1","Goalkeeper","Thibaut COURTOIS","Belgium"
"22","20","Midfielder","Izet HAJROVIC","Bosnia & Herzegovina"
"22","14","Midfielder","Tino Sven SUSIC","Bosnia & Herzegovina"
"22","10","Forward","NEYMAR","Brazil"
"22","11","Midfielder","OSCAR","Brazil"
"22","10","Forward","Vincent ABOUBAKAR","Cameroon"
"22","21","Midfielder","Joel MATIP","Cameroon"
"22","1","Goalkeeper","Loic FEUDJOU","Cameroon"
"22","10","Midfielder","James RODRIGUEZ","Colombia"
"22","4","Defender","Santiago ARIAS","Colombia"
"22","17","Midfielder","Yeltsin TEJEDA","Costa Rica"
"22","2","Defender","Sime VRSALJKO","Croatia"
"22","16","Defender","Phil JONES","England"
"22","7","Midfielder","Jack WILSHERE","England"
"22","19","Forward","Mario GOETZE","Germany"
"22","15","Defender","Erik DURM","Germany"
"22","18","Forward","Majeed WARIS","Ghana"
"22","6","Midfielder","Acquah AFRIYIE","Ghana"
"22","7","Midfielder","Christian ATSU","Ghana"
"22","13","Forward","Jordan AYEW","Ghana"
"22","18","Midfielder","Bakhtiar RAHMANI","Iran"
"22","4","Defender","Bruno MARTINS INDI","Netherlands"
"22","3","Defender","Stefan DE VRIJ","Netherlands"
"22","13","Defender","Joel VELTMAN","Netherlands"
"22","16","Midfielder","Jordy CLASIE","Netherlands"
"22","19","Forward","Uche NWOFOR","Nigeria"
"22","6","Midfielder","WILLIAM","Portugal"
"22","6","Forward","Maksim KANUNNIKOV","Russia"
"22","17","Midfielder","KOKE","Spain"
"22","22","Defender","Fabian SCHAER","Switzerland"
"22","23","Midfielder","Xherdan SHAQIRI","Switzerland"
"22","9","Forward","Haris SEFEROVIC","Switzerland"
"23","3","Defender","Faouzi GHOULAM","Algeria"
"23","21","Forward","Riyad MAHREZ","Algeria"
"23","7","Forward","Mathew LECKIE","Australia"
"23","10","Midfielder","Eden HAZARD","Belgium"
"23","3","Defender","Miiko ALBORNOZ","Chile"
"23","16","Midfielder","Felipe GUTIERREZ","Chile"
"23","20","Midfielder","Diego CALVO","Costa Rica"
"23","12","Defender","Waylon FRANCIS","Costa Rica"
"23","5","Midfielder","Alex IBARRA","Ecuador"
"23","11","Forward","Danny WELBECK","England"
"23","11","Forward","Antoine GRIEZMANN","France"
"23","13","Defender","Eliaquim MANGALA","France"
"23","22","Midfielder","Clement GRENIER","France"
"23","9","Forward","Andre SCHUERRLE","Germany"
"23","23","Midfielder","Christoph KRAMER","Germany"
"23","22","Midfielder","Mubarak WAKASO","Ghana"
"23","8","Midfielder","Emmanuel AGYEMANG BADU","Ghana"
"23","19","Defender","Jonathan MENSAH","Ghana"
"23","4","Defender","Daniel OPARE","Ghana"
"23","18","Forward","Ioannis FETFATZIDIS","Greece"
"23","23","Midfielder","Panagiotis TACHTSIDIS","Greece"
"23","4","Defender","Konstantinos MANOLAS","Greece"
"23","19","Midfielder","Luis GARRIDO","Honduras"
"23","9","Forward","Mario BALOTELLI","Italy"
"23","22","Forward","Lorenzo INSIGNE","Italy"
"23","6","Midfielder","Mathis BOLLY","Ivory Coast"
"23","3","Defender","Gotoku SAKAI","Japan"
"23","16","Midfielder","Hotaru YAMAGUCHI","Japan"
"23","11","Forward","Alan PULIDO","Mexico"
"23","9","Forward","Raul JIMENEZ","Mexico"
"23","17","Midfielder","Isaac BRIZUELA","Mexico"
"23","20","Midfielder","Georginio WIJNALDUM","Netherlands"
"23","11","Forward","Victor MOSES","Nigeria"
"23","14","Defender","Godfrey OBOABONA","Nigeria"
"23","12","Defender","Ebenezer ODUNLAMI","Nigeria"
"23","4","Midfielder","Ruben GABRIEL","Nigeria"
"23","13","Defender","Juwon OSHANIWA","Nigeria"
"23","19","Defender","ANDRE ALMEIDA","Portugal"
"23","17","Midfielder","Oleg SHATOV","Russia"
"23","9","Forward","Alexander KOKORIN","Russia"
"23","3","Defender","Georgy SHCHENNIKOV","Russia"
"23","19","Midfielder","JI Dongwon","South Korea"
"23","21","Goalkeeper","KIM Seunggyu","South Korea"
"23","12","Goalkeeper","David DE GEA","Spain"
"23","6","Defender","Michael LANG","Switzerland"
"23","18","Forward","Admir MEHMEDI","Switzerland"
"23","21","Goalkeeper","Roman BUERKI","Switzerland"
"23","8","Forward","Abel HERNANDEZ","Uruguay"
"23","19","Defender","Sebastian COATES","Uruguay"
"23","18","Midfielder","Gaston RAMIREZ","Uruguay"
"23","9","Forward","Aron JOHANNSSON","USA"
"23","10","Midfielder","Mix DISKERUD","USA"
"24","9","Forward","Nabil GHILAS","Algeria"
"24","10","Forward","Sofiane FEGHOULI","Algeria"
"24","11","Midfielder","Yacine BRAHIMI","Algeria"
"24","16","Defender","Marcos ROJO","Argentina"
"24","19","Defender","Ryan McGOWAN","Australia"
"24","22","Midfielder","Nacer CHADLI","Belgium"
"24","8","Midfielder","Miralem PJANIC","Bosnia & Herzegovina"
"24","3","Defender","Ermin BICAKCIC","Bosnia & Herzegovina"
"24","6","Defender","Ognjen VRANJES","Bosnia & Herzegovina"
"24","21","Midfielder","Anel HADZIC","Bosnia & Herzegovina"
"24","19","Forward","Edin VISCA","Bosnia & Herzegovina"
"24","3","Defender","Nicolas NKOULOU","Cameroon"
"24","23","Goalkeeper","Sammy NDJOCK","Cameroon"
"24","11","Forward","Eduardo VARGAS","Chile"
"24","14","Forward","Victor IBARBO","Colombia"
"24","21","Forward","Marcos URENA","Costa Rica"
"24","16","Defender","Cristian GAMBOA","Costa Rica"
"24","6","Defender","Dejan LOVREN","Croatia"
"24","13","Forward","Enner VALENCIA","Ecuador"
"24","20","Midfielder","Fidel MARTINEZ","Ecuador"
"24","7","Midfielder","Jefferson MONTERO","Ecuador"
"24","9","Forward","Daniel STURRIDGE","England"
"24","12","Defender","Chris SMALLING","England"
"24","14","Midfielder","Jordan HENDERSON","England"
"24","5","Defender","Mamadou SAKHO","France"
"24","18","Midfielder","Moussa SISSOKO","France"
"24","13","Forward","Thomas MUELLER","Germany"
"24","18","Midfielder","Toni KROOS","Germany"
"24","10","Midfielder","Andre AYEW","Ghana"
"24","17","Midfielder","Mohammed RABIU","Ghana"
"24","1","Goalkeeper","Stephen ADAMS","Ghana"
"24","23","Midfielder","Mario MARTINEZ","Honduras"
"24","10","Forward","Karim ANSARI FARD","Iran"
"24","3","Midfielder","Ehsan HAJI SAFI","Iran"
"24","17","Forward","Ciro IMMOBILE","Italy"
"24","4","Defender","Matteo DARMIAN","Italy"
"24","11","Forward","Yoichiro KAKITANI","Japan"
"24","18","Forward","Yuya OSAKO","Japan"
"24","20","Forward","Manabu SAITO","Japan"
"24","8","Forward","Hiroshi KIYOTAKE","Japan"
"24","21","Defender","Hiroki SAKAI","Japan"
"24","8","Midfielder","Marco FABIAN","Mexico"
"24","21","Midfielder","Carlos PENA","Mexico"
"24","6","Midfielder","Hector HERRERA","Mexico"
"24","20","Midfielder","Javier AQUINO","Mexico"
"24","18","Midfielder","Leroy FER","Netherlands"
"24","7","Defender","Daryl JANMAAT","Netherlands"
"24","5","Defender","Daley BLIND","Netherlands"
"24","20","Forward","Okechukwu UCHEBO","Nigeria"
"24","6","Defender","Azubuike EGWUEKWE","Nigeria"
"24","10","Midfielder","Alan DZAGOEV","Russia"
"24","12","Goalkeeper","Yury LODYGIN","Russia"
"24","7","Midfielder","KIM Bokyung","South Korea"
"24","5","Defender","KIM Younggwon","South Korea"
"24","20","Defender","HONG Jeongho","South Korea"
"24","14","Midfielder","HAN Kookyoung","South Korea"
"24","3","Defender","YUN Sukyoung","South Korea"
"24","6","Defender","HWANG Seokho","South Korea"
"24","22","Midfielder","Cesar AZPILICUETA","Spain"
"24","17","Forward","Mario GAVRANOVIC","Switzerland"
"24","17","Forward","Jozy ALTIDORE","USA"
"24","21","Defender","Timmy CHANDLER","USA"
"25","4","Defender","Esseid BELKALEM","Algeria"
"25","17","Defender","Federico FERNANDEZ","Argentina"
"25","14","Midfielder","James TROISI","Australia"
"25","12","Goalkeeper","Mitch LANGERAK","Australia"
"25","6","Defender","Matthew SPIRANOVIC","Australia"
"25","16","Midfielder","James HOLLAND","Australia"
"25","13","Midfielder","Oliver BOZANIC","Australia"
"25","6","Midfielder","Axel WITSEL","Belgium"
"25","2","Defender","Toby ALDERWEIRELD","Belgium"
"25","15","Defender","Toni SUNJIC","Bosnia & Herzegovina"
"25","19","Midfielder","WILLIAN","Brazil"
"25","8","Midfielder","PAULINHO","Brazil"
"25","13","Forward","Eric CHOUPO MOTING","Cameroon"
"25","8","Forward","Benjamin MOUKANDJO","Cameroon"
"25","7","Forward","Alexis SANCHEZ","Chile"
"25","2","Defender","Eugenio MENA","Chile"
"25","20","Midfielder","Charles ARANGUIZ","Chile"
"25","1","Goalkeeper","David OSPINA","Colombia"
"25","15","Midfielder","Alexander MEJIA","Colombia"
"25","12","Goalkeeper","Camilo VARGAS","Colombia"
"25","6","Defender","Oscar DUARTE","Costa Rica"
"25","4","Midfielder","Ivan PERISIC","Croatia"
"25","21","Defender","Domagoj VIDA","Croatia"
"25","11","Forward","Felipe CAICEDO","Ecuador"
"25","9","Forward","Joao ROJAS","Ecuador"
"25","12","Goalkeeper","Adrian BONE","Ecuador"
"25","21","Forward","Marco REUS","Germany"
"25","8","Midfielder","Mesut OEZIL","Germany"
"25","5","Defender","Mats HUMMELS","Germany"
"25","20","Defender","Jerome BOATENG","Germany"
"25","12","Goalkeeper","Ron-Robert ZIELER","Germany"
"25","2","Defender","Kevin GROSSKREUTZ","Germany"
"25","20","Midfielder","Kwadwo ASAMOAH","Ghana"
"25","2","Defender","Samuel INKOOM","Ghana"
"25","22","Midfielder","Andreas SAMARIS","Greece"
"25","8","Midfielder","Reza HAGHIGHI","Iran"
"25","12","Forward","Wilfried BONY","Ivory Coast"
"25","16","Goalkeeper","Sylvain GBOHOUO","Ivory Coast"
"25","21","Forward","Giovanni SIO","Ivory Coast"
"25","10","Forward","Shinji KAGAWA","Japan"
"25","22","Defender","Maya YOSHIDA","Japan"
"25","23","Goalkeeper","Shuichi GONDA","Japan"
"25","10","Forward","Giovani DOS SANTOS","Mexico"
"25","7","Defender","Miguel LAYUN","Mexico"
"25","16","Defender","Miguel PONCE","Mexico"
"25","1","Goalkeeper","Jasper CILLESSEN","Netherlands"
"25","5","Defender","Efe AMBROSE","Nigeria"
"25","5","Defender","Andrey SEMENOV","Russia"
"25","21","Forward","Alexey IONOV","Russia"
"25","13","Forward","KOO Jacheol","South Korea"
"25","17","Midfielder","LEE Chungyong","South Korea"
"25","16","Midfielder","KI Sungyueng","South Korea"
"25","15","Midfielder","PARK Jongwoo","South Korea"
"25","23","Goalkeeper","LEE Bumyoung","South Korea"
"25","18","Defender","Jordi ALBA","Spain"
"25","4","Midfielder","Javi MARTINEZ","Spain"
"25","16","Midfielder","Sergio BUSQUETS","Spain"
"25","19","Forward","Diego COSTA","Spain"
"25","14","Midfielder","Valentin STOCKER","Switzerland"
"25","12","Goalkeeper","Yann SOMMER","Switzerland"
"25","14","Midfielder","Nicolas LODEIRO","Uruguay"
"25","3","Defender","Omar GONZALEZ","USA"
"26","13","Forward","Islam SLIMANI","Algeria"
"26","15","Forward","El Arabi SOUDANI","Algeria"
"26","17","Defender","Liassine CADAMURO","Algeria"
"26","9","Forward","Gonzalo HIGUAIN","Argentina"
"26","10","Forward","Lionel MESSI","Argentina"
"26","20","Forward","Sergio AGUERO","Argentina"
"26","7","Midfielder","Angel DI MARIA","Argentina"
"26","19","Midfielder","Ricardo ALVAREZ","Argentina"
"26","2","Defender","Ivan FRANJIC","Australia"
"26","11","Forward","Kevin MIRALLAS","Belgium"
"26","8","Midfielder","Marouane FELLAINI","Belgium"
"26","19","Midfielder","Moussa DEMBELE","Belgium"
"26","16","Midfielder","Steven DEFOUR","Belgium"
"26","21","Defender","Anthony VANDEN BORRE","Belgium"
"26","12","Goalkeeper","Simon MIGNOLET","Belgium"
"26","1","Goalkeeper","Asmir BEGOVIC","Bosnia & Herzegovina"
"26","6","Defender","MARCELO","Brazil"
"26","17","Midfielder","LUIZ GUSTAVO","Brazil"
"26","6","Midfielder","Alexandre SONG","Cameroon"
"26","22","Defender","Allan NYOM","Cameroon"
"26","17","Defender","Gary MEDEL","Chile"
"26","4","Defender","Mauricio ISLA","Chile"
"26","12","Goalkeeper","Cristopher TOSELLI","Chile"
"26","11","Midfielder","Juan CUADRADO","Colombia"
"26","5","Midfielder","Celso BORGES","Costa Rica"
"26","3","Defender","Giancarlo GONZALEZ","Costa Rica"
"26","7","Midfielder","Ivan RAKITIC","Croatia"
"26","17","Forward","Jaimen AYOVI","Ecuador"
"26","3","Defender","Frickson ERAZO","Ecuador"
"26","4","Defender","Juan PAREDES","Ecuador"
"26","22","Goalkeeper","Fraser FORSTER","England"
"26","20","Midfielder","Adam LALLANA","England"
"26","10","Forward","Karim BENZEMA","France"
"26","4","Defender","Benedikt HOEWEDES","Germany"
"26","14","Midfielder","Albert ADOMAH","Ghana"
"26","12","Goalkeeper","Adam KWARASEY","Ghana"
"26","9","Forward","Konstantinos MITROGLOU","Greece"
"26","19","Defender","Sokratis PAPASTATHOPOULOS","Greece"
"26","8","Midfielder","Panagiotis KONE","Greece"
"26","3","Defender","Georgios TZAVELAS","Greece"
"26","16","Forward","Rony MARTINEZ","Honduras"
"26","6","Defender","Juan Carlos GARCIA","Honduras"
"26","16","Forward","Reza GHOOCHANNEJAD","Iran"
"26","12","Goalkeeper","Alireza HAGHIGHI","Iran"
"26","22","Goalkeeper","Daniel DAVARI","Iran"
"26","11","Forward","Alessio CERCI","Italy"
"26","15","Midfielder","Max GRADEL","Ivory Coast"
"26","2","Defender","Atsuto UCHIDA","Japan"
"26","14","Forward","Javier HERNANDEZ","Mexico"
"26","15","Defender","Hector MORENO","Mexico"
"26","23","Midfielder","Jose VAZQUEZ","Mexico"
"26","17","Forward","Jeremain LENS","Netherlands"
"26","23","Goalkeeper","Tim KRUL","Netherlands"
"26","8","Midfielder","Jonathan DE GUZMAN","Netherlands"
"26","3","Defender","Uwa ECHIEJILE","Nigeria"
"26","5","Defender","FABIO COENTRAO","Portugal"
"26","11","Forward","EDER","Portugal"
"26","12","Goalkeeper","RUI PATRICIO","Portugal"
"26","14","Defender","LUIS NETO","Portugal"
"26","18","Forward","KIM Shinwook","South Korea"
"26","11","Forward","Pedro RODRIGUEZ","Spain"
"26","13","Forward","Juan MATA","Spain"
"26","4","Midfielder","Michael BRADLEY","USA"
"26","23","Defender","Fabian JOHNSON","USA"
"27","18","Forward","Abdelmoumene DJABOU","Algeria"
"27","5","Defender","Rafik HALLICHE","Algeria"
"27","1","Goalkeeper","Sergio ROMERO","Argentina"
"27","2","Defender","Ezequiel GARAY","Argentina"
"27","20","Midfielder","Dario VIDOSIC","Australia"
"27","14","Midfielder","Dries MERTENS","Belgium"
"27","5","Defender","Jan VERTONGHEN","Belgium"
"27","21","Forward","JO","Brazil"
"27","7","Forward","HULK","Brazil"
"27","16","Midfielder","RAMIRES","Brazil"
"27","4","Defender","DAVID LUIZ","Brazil"
"27","15","Defender","HENRIQUE","Brazil"
"27","8","Midfielder","Arturo VIDAL","Chile"
"27","21","Midfielder","Marcelo DIAZ","Chile"
"27","6","Midfielder","Carlos CARMONA","Chile"
"27","17","Forward","Carlos BACCA","Colombia"
"27","21","Forward","Jackson MARTINEZ","Colombia"
"27","13","Midfielder","Fredy GUARIN","Colombia"
"27","7","Defender","Pablo ARMERO","Colombia"
"27","2","Defender","Cristian ZAPATA","Colombia"
"27","22","Midfielder","Jose CUBERO","Costa Rica"
"27","1","Goalkeeper","Keylor NAVAS","Costa Rica"
"27","19","Midfielder","SAMMIR","Croatia"
"27","15","Midfielder","Michael ARROYO","Ecuador"
"27","22","Goalkeeper","Alexander DOMINGUEZ","Ecuador"
"27","1","Goalkeeper","Joe HART","England"
"27","9","Forward","Olivier GIROUD","France"
"27","20","Forward","Loic REMY","France"
